Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,07/03/2025,VI-132723,319.84,Revenue,PeopleScout Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,18/03/2025,VI-133472,479.16,Revenue,PeopleScout Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Advertising,28/03/2025,VI-134384,257.32,Revenue,PeopleScout Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,28/03/2025,VI-134386,513.86,Revenue,PeopleScout Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Hotel Accommodation,12/03/2025,VI-132862,819.37,Revenue,Travelodge,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VC-004070,"-2,308.75",Revenue,Travis Perkins,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132730,"5,377.04",Revenue,Travis Perkins,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132853,"4,499.51",Revenue,Travis Perkins,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132765,"10,393.99",Revenue,Travis Perkins,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/03/2025,VI-133825,"6,495.06",Revenue,Travis Perkins,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,21/03/2025,VI-133361,"1,332.50",Revenue,Training and Tutoring Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,25/03/2025,VI-134206,"30,000.00",Revenue,Trimley St Martin PC,,,,,,,,,,,,,,,,,,
Energy and Climate Change,Environmental Climate Change,Supplies and Services,Hospitality,28/03/2025,VI-134547,934.50,Revenue,Trinity Park Events Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,05/03/2025,VI-131008,"10,831.20",Revenue,Tribeloo NV,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,17/03/2025,VI-133028,"7,114.94",Revenue,Tusker,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/03/2025,VI-133339,595.00,Revenue,Ubbeston Parish Council,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,18/03/2025,VI-133568,"1,657.01",Revenue,UK Health Security Agency,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,04/03/2025,VI-132542,"1,331.96",Revenue,Unison Eastern Region,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,26/03/2025,VI-134322,"1,309.57",Revenue,Unison Eastern Region,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134129,684.81,Revenue,Unity Schools Partnership,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,12/03/2025,VI-133456,"5,500.00",Revenue,Richard Utting LLP,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,28/03/2025,VI-133441,250.00,Revenue,Richard Utting LLP,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Premises Expenses,Electricity,05/03/2025,VI-132448,"52,075.97",Revenue,Vertas Group Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Fixtures & Fittings,06/03/2025,VI-132296,"5,984.57",Revenue,Vertas Group Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Supplies and Services,Postages,21/03/2025,VI-133916,469.19,Revenue,Vertas Group Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Supplies and Services,Postages,21/03/2025,VI-133914,467.94,Revenue,Vertas Group Ltd,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Postages,21/03/2025,VI-131906,663.24,Revenue,Vertas Group Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,14/03/2025,VI-132743,"2,900.00",Revenue,Richard Vest Architectural Design Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,14/03/2025,VI-132742,"6,651.55",Revenue,Richard Vest Architectural Design Ltd,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Furniture and Equipment,28/03/2025,VI-134456,600.00,Revenue,Vinyl Installation Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,21/03/2025,VI-134072,"5,142.66",Revenue,Visit East Anglia Ltd T/A Visit Suffolk,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,04/03/2025,VI-132456,"5,229.17",Revenue,Vivid Resourcing,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Employee Expenses,Contract Staff,19/03/2025,VI-133695,"9,720.00",Revenue,Vivid Resourcing,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Employee Expenses,Contract Staff,19/03/2025,VI-133694,"10,530.00",Revenue,Vivid Resourcing,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,25/03/2025,VI-132436,"6,345.00",Revenue,Vivid Resourcing,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,04/03/2025,VI-132591,"1,500.00",Revenue,Wardens Trust,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,04/03/2025,VI-132311,"21,644.50",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/03/2025,VI-132670,"6,045.00",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/03/2025,VI-132667,350.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/03/2025,VI-132705,312.50,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,11/03/2025,VI-133253,"10,756.50",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/03/2025,VI-133373,500.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/03/2025,VI-133381,500.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/03/2025,VI-133408,350.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133617,"3,305.00",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133572,"4,587.50",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133509,350.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133507,350.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133466,425.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133429,425.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/03/2025,VI-133671,"9,007.50",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/03/2025,VI-133776,"3,900.00",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,19/03/2025,VI-133681,"7,262.50",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/03/2025,VI-134027,500.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/03/2025,VI-133984,662.50,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,26/03/2025,VI-134346,450.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,26/03/2025,VI-134300,"5,917.50",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,26/03/2025,VI-134288,800.00,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134015,"6,542.50",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134455,662.50,Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,07/03/2025,VI-132888,313.83,Revenue,P W Waters Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,04/03/2025,VI-132547,490.00,Revenue,East Suffolk Conservative Councillors Group,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,28/03/2025,VI-134320,490.00,Revenue,East Suffolk Conservative Councillors Group,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-133666,"3,420.00",Capital,Waveney Fencing,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Hospitality,01/03/2025,VI-134958,720.83,Revenue,Waveney House Hotel,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Hospitality,01/03/2025,VI-135673,720.83,Revenue,Waveney House Hotel,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,04/03/2025,VI-132544,504.00,Revenue,East Suffolk Labour Group,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,26/03/2025,VI-134319,504.00,Revenue,East Suffolk Labour Group,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,25/03/2025,VI-134053,"24,481.10",Revenue,Waveney Surfacing Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,28/03/2025,VI-134425,"7,434.00",Revenue,Waveney Surfacing Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134135,557.00,Revenue,Waveney Enterprises Craft Workshop,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134127,"1,000.00",Revenue,The Welcome Hall,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,12/03/2025,VI-133341,"6,565.00",Revenue,Welham Surfacing Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,18/03/2025,VI-133835,"4,750.00",Revenue,Wendy Richards Business Coach,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Surveyor Fees,28/03/2025,VI-133724,962.00,Revenue,West Suffolk Council,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Conference Fees,14/03/2025,VI-133495,299.00,Revenue,"Westminster Energy, Environment & Transport Forum",,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Supplies and Services,Conference Fees,12/03/2025,VI-132865,299.00,Revenue,Westminster Social Policy Forum,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,12/03/2025,VI-133635,359.10,Revenue,Westminster Insight,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133436,"1,045.00",Revenue,Westbury Building Services,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Operational Vehicle Hire,07/03/2025,VI-132902,740.88,Revenue,West Wallasey Car Hire Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134124,"1,200.00",Revenue,Wish List Bikers Charity,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Grants & Contributions,14/03/2025,VI-133647,"5,000.00",Revenue,Woodbridge Tide Mill Museum,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,12/03/2025,VI-133368,"5,000.00",Revenue,Woodhall Manor,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134204,"3,000.00",Revenue,Worlingham Parish Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134488,"2,000.00",Revenue,Wrentham Bowls Club,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/03/2025,VI-132777,"97,808.50",Revenue,YTKO Limited,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
The following payments are in respect of Active Suffolk for which East Suffolk Council is the host authority.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Active Suffolk,Supplies and Services,General Purchases,28/03/2025,VI-134356,750.00,Revenue,BSC Multicultural Services,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Active Suffolk,Holding Account - Cash Out,Capital Expenditure,04/03/2025,VI-132567,614.40,Capital,CCS Media Limited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Active Suffolk,Supplies and Services,Grants & Contributions,21/03/2025,VI-133897,429.94,Revenue,Amanda Dufour,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Active Suffolk,Supplies and Services,Marketing & Promotions,21/03/2025,VI-133734,975.00,Revenue,Michaela Frost T/AS Frame by MA ,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Active Suffolk,Supplies and Services,Grants & Contributions,28/03/2025,VI-134417,250.00,Revenue,KFL Yoga,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Active Suffolk,Supplies and Services,Grants & Contributions,25/03/2025,VI-134242,400.00,Revenue,Stephanie Mackeown,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Active Suffolk,Supplies and Services,Grants & Contributions,18/03/2025,VI-133505,400.00,Revenue,Socasalsa,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
The source of the data being used cannot separate out Value Added Tax which cannot be recovered. In these ,,,,,,,,,,,,,,,,,,,,,,,,,,
instances the gross amount or full charge to the council has been shown.,,,,,,,,,,,,,,,,,,,,,,,,,,
