Organisation,Supplier Name,Reference,Payment Date,Service Area/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,Paddington Development Trust,2324.4.CPMT.2349,45344,Adult Learning and Skills Service,Fees - Management and Administration,2776
LBHF,Paddington Development Trust,2324.4.CPMT.2350,45344,Adult Learning and Skills Service,Fees - Management and Administration,2654
LBHF,Paddington Development Trust,2324.4.CPMT.2351,45344,Adult Learning and Skills Service,Fees - Management and Administration,2855
LBHF,Paddington Development Trust,2324.4.CPMT.2352,45344,Adult Learning and Skills Service,Fees - Management and Administration,2877
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23792,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,11026.74
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23793,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1243.41
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23795,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1140.01
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23797,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1424.79
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23798,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1258.59
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23801,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,7039.06
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23802,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1183.53
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23803,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,571.6
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23804,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,808.46
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23805,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1002.26
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23806,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,823.31
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23807,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2106.28
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23808,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,548.16
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23809,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1235.7
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23810,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,784.89
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23811,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3625.16
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23812,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1789.92
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23815,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,598.11
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23817,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,712.45
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23818,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1246.84
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23819,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,805.46
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23821,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1901.58
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23823,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,920.34
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23824,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,810.96
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23825,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,4779.46
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23827,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2244.4
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23828,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,905.81
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23829,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1121.38
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23895,45344,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3031.19
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23896,45344,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1129.52
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23897,45344,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3031.19
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23901,45344,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1033.96
LBHF,Fraser Water Services Ltd,2324.4.CPMT.23903,45344,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1882.32
LBHF,Trustmarque Solutions Ltd,2324.4.CPMT.2634,45344,Business Intelligence,"IT Software, Licences and Subscriptions",529.8
LBHF,Cappagh Contractors Construction (London) Ltd.,2324.4.CPMT.2635,45344,Capital - Greening Schemes,Capital - Contractors - New and Enhancement,27648
LBHF,Cappagh Contractors Construction (London) Ltd.,2324.4.CPMT.2638,45344,Highways,Payments to Private Contractors,27102.81
LBHF,Cappagh Contractors Construction (London) Ltd.,2324.4.CPMT.2639,45344,Highways,Payments to Private Contractors,4375.94
LBHF,St Luke's PCC,2324.4.CPMT.2856,45344,Committee Services,Hire of Accommodation and Facilities,630
LBHF,Theori Housing Management Services,2324.4.CPMT.2867,45344,Allocations & Lettings (GF),Temporary Accommodation,1147
LBHF,Tfl Surface Transport,2324.4.CPMT.2918,45344,Capital - The Former Dairy Crest Site S106,Capital - Contractors - New and Enhancement,19396
LBHF,Core Projects Ltd,2324.4.CPMT.29306,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,592.86
LBHF,Core Projects Ltd,2324.4.CPMT.29307,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1754.24
LBHF,Core Projects Ltd,2324.4.CPMT.29309,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,7579.8
LBHF,Core Projects Ltd,2324.4.CPMT.29310,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,7444.16
LBHF,Core Projects Ltd,2324.4.CPMT.29311,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2057.73
LBHF,Core Projects Ltd,2324.4.CPMT.29314,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,6830.13
LBHF,Core Projects Ltd,2324.4.CPMT.29316,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,554.97
LBHF,Core Projects Ltd,2324.4.CPMT.29319,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2812
LBHF,Core Projects Ltd,2324.4.CPMT.29322,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,773.3
LBHF,Core Projects Ltd,2324.4.CPMT.29327,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1121.48
LBHF,Core Projects Ltd,2324.4.CPMT.29330,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,682.14
LBHF,Core Projects Ltd,2324.4.CPMT.29331,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1380
LBHF,Core Projects Ltd,2324.4.CPMT.29332,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,685.85
LBHF,Core Projects Ltd,2324.4.CPMT.29333,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,4617.07
LBHF,Core Projects Ltd,2324.4.CPMT.29334,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,630
LBHF,Core Projects Ltd,2324.4.CPMT.29336,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1245
LBHF,Core Projects Ltd,2324.4.CPMT.29337,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1228
LBHF,Core Projects Ltd,2324.4.CPMT.29338,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1958
LBHF,Core Projects Ltd,2324.4.CPMT.29339,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3760.79
LBHF,Core Projects Ltd,2324.4.CPMT.29340,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1030
LBHF,Core Projects Ltd,2324.4.CPMT.29344,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1411.92
LBHF,Core Projects Ltd,2324.4.CPMT.29349,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,672
LBHF,Core Projects Ltd,2324.4.CPMT.29351,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1089
LBHF,Core Projects Ltd,2324.4.CPMT.29353,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,4248.55
LBHF,Core Projects Ltd,2324.4.CPMT.29361,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1451.1
LBHF,Core Projects Ltd,2324.4.CPMT.29363,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,510
LBHF,Core Projects Ltd,2324.4.CPMT.29364,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1956.58
LBHF,Core Projects Ltd,2324.4.CPMT.29367,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,889.52
LBHF,Core Projects Ltd,2324.4.CPMT.29371,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1519.5
LBHF,Core Projects Ltd,2324.4.CPMT.29376,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2279.52
LBHF,Core Projects Ltd,2324.4.CPMT.29383,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,5742.77
LBHF,Core Projects Ltd,2324.4.CPMT.29384,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,9370.66
LBHF,Core Projects Ltd,2324.4.CPMT.29388,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,6518.64
LBHF,Core Projects Ltd,2324.4.CPMT.29389,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1089
LBHF,Core Projects Ltd,2324.4.CPMT.29391,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1089
LBHF,Core Projects Ltd,2324.4.CPMT.29392,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2465.15
LBHF,Core Projects Ltd,2324.4.CPMT.29393,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2790.11
LBHF,Core Projects Ltd,2324.4.CPMT.29418,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2829.78
LBHF,Core Projects Ltd,2324.4.CPMT.29425,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3998.24
LBHF,Core Projects Ltd,2324.4.CPMT.29427,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2923.35
LBHF,Core Projects Ltd,2324.4.CPMT.29428,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2068.84
LBHF,Core Projects Ltd,2324.4.CPMT.29430,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2153
LBHF,Core Projects Ltd,2324.4.CPMT.29432,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2332.3
LBHF,Core Projects Ltd,2324.4.CPMT.29436,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,4568.95
LBHF,Core Projects Ltd,2324.4.CPMT.29437,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3149.11
LBHF,Project Centre,2324.4.CPMT.2944,45344,"Capital - Glenthorne Rd Walkng, Cyclng, Bus Priority",Capital - Contractors - New and Enhancement,5250
LBHF,Core Projects Ltd,2324.4.CPMT.29443,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3274.35
LBHF,Core Projects Ltd,2324.4.CPMT.29444,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2068.7
LBHF,Core Projects Ltd,2324.4.CPMT.29446,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2123.23
LBHF,Core Projects Ltd,2324.4.CPMT.29447,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,4198.17
LBHF,Core Projects Ltd,2324.4.CPMT.29448,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3239.57
LBHF,Core Projects Ltd,2324.4.CPMT.29456,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1978.63
LBHF,Core Projects Ltd,2324.4.CPMT.29458,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,10423.46
LBHF,Core Projects Ltd,2324.4.CPMT.29461,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2872.88
LBHF,Core Projects Ltd,2324.4.CPMT.29462,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2763.63
LBHF,Core Projects Ltd,2324.4.CPMT.29463,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1408.59
LBHF,Core Projects Ltd,2324.4.CPMT.29464,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2857.85
LBHF,Core Projects Ltd,2324.4.CPMT.29467,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1892.3
LBHF,Core Projects Ltd,2324.4.CPMT.29468,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2237.7
LBHF,Core Projects Ltd,2324.4.CPMT.29472,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3615
LBHF,Core Projects Ltd,2324.4.CPMT.29476,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1102.03
LBHF,Core Projects Ltd,2324.4.CPMT.29477,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3387.85
LBHF,Core Projects Ltd,2324.4.CPMT.29479,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3193.67
LBHF,Core Projects Ltd,2324.4.CPMT.29480,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2103.8
LBHF,Core Projects Ltd,2324.4.CPMT.29486,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1963.3
LBHF,Core Projects Ltd,2324.4.CPMT.29487,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2106.58
LBHF,Core Projects Ltd,2324.4.CPMT.29488,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2906.05
LBHF,Core Projects Ltd,2324.4.CPMT.29489,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1923.24
LBHF,Core Projects Ltd,2324.4.CPMT.29490,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3959.67
LBHF,Core Projects Ltd,2324.4.CPMT.29491,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2725.98
LBHF,Core Projects Ltd,2324.4.CPMT.29493,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2101.42
LBHF,Core Projects Ltd,2324.4.CPMT.29494,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,2169.26
LBHF,Core Projects Ltd,2324.4.CPMT.29495,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1904.67
LBHF,Core Projects Ltd,2324.4.CPMT.29497,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,4496.7
LBHF,Core Projects Ltd,2324.4.CPMT.29498,45344,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,4116.77
LBHF,Wentworth Estates,2324.4.CPMT.3305,45344,Allocations & Lettings (GF),Temporary Accommodation,4030
LBHF,Wentworth Estates,2324.4.CPMT.3306,45344,Allocations & Lettings (GF),Temporary Accommodation,2790
LBHF,Wentworth Estates,2324.4.CPMT.3307,45344,Allocations & Lettings (GF),Temporary Accommodation,1794
LBHF,Ferret Information Systems Ltd,2324.4.CPMT.3497,45344,Capital - DFG Private Clients,Capital - Contractors - Refurbishment and Restora,500
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.3618,45344,SEND and Inclusion,"Tools, Furniture, Materials - Equipment",2615
LBHF,Cavendish Construction Ltd,2324.4.CPMT.36963,45344,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,3026.05
LBHF,Cavendish Construction Ltd,2324.4.CPMT.36964,45344,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,4817.09
LBHF,Cavendish Construction Ltd,2324.4.CPMT.36983,45344,Voids & Repairs,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,4309.89
