Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,PF00018097,589000,CENT/TIFES/RBD/2022-11-14/A,DT1 2JY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,PF00018096,92000,CENT/NHPFE/RBD/2023-03-31/A,DT1 2JY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,PF00018060,4033000,DHPF/REVSP/RP5/2024-01-11/A,DN2 5LT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,PF00018095,273000,CENT/FLDSY/RXM/2023-12-18/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,PF00018094,523000,CENT/EMHDS/RXM/2023-01-30/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,PF00018093,1772000,CENT/EMHDS/RXM/2022-09-29/B,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,PF00018092,1772000,CENT/EMHDS/RXM/2022-09-29/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,DARTFORD & GRAVESHAM NHS TRUST,PF00018059,5400000,DHPF/REVSP/RN7/2024-01-11/A,DA2 8DA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,PF00018068,5539000,DHPF/REVSP/RNN/2024-01-11/A,CA1 3SX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,PF00018091,3598000,CENT/RAACP/RJR/2023-08-08/A,CH2 1UL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,PF00018090,100000,CENT/MHUEC/RJ8/2022-09-06/A,PL26 6AD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,PF00018089,295000,CENT/MHUEC/RJ8/2022-08-08/A,PL26 6AD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,PF00018088,5475000,CENT/CDCHU/RJ8/2023-01-30/A,PL26 6AD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,PF00018058,3706000,DHPF/REVSP/RFS/2024-01-11/A,S44 5BL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,PF00018087,966000,CENT/TIFES/RXQ/2023-08-08/A,HP7 0JD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,PF00018086,1442000,CENT/ACTIF/RXQ/2023-06-27/A,HP7 0JD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,PF00018057,2817000,DHPF/REVSP/RXQ/2024-01-11/A,HP7 0JD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PF00018085,1185000,CENT/TIFES/RAE/2022-09-06/B,BD9 6RJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PF00018083,115000,CENT/ENDOS/RAE/2023-08-15/A,BD9 6RJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PF00018082,46000,CENT/CDCHU/RAE/2023-02-14/A,BD9 6RJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,AIREDALE NHS FOUNDATION TRUST,PF00018081,3667000,CENT/RAACP/RCF/2023-04-26/A,BD20 6TD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,AIREDALE NHS FOUNDATION TRUST,PF00018080,1495000,CENT/ACTIF/RCF/2023-06-27/A,BD20 6TD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Interest Receivable NCB Loan,Default Group,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,PF00017950,-51903.74,RCU.FTFF.08.2009,S10 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Interest Receivable NCB Loan,Default Group,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,PF00017951,-36908.04,RM2/FTFF/01/2009,M13 0ZY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Interest Receivable NCB Loan,Default Group,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PF00017952,-82513.32,RGT.FTFF.02.2009,CB2 0QQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Curr Part of Lns Repay Tfr from Invest (ST) NCB Loan,Default Group,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,PF00017953,-118493.06,RCU.FTFF.08.2009,S10 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Curr Part of Lns Repay Tfr from Invest (ST) NCB Loan,Default Group,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,PF00017954,-210400,RM2/FTFF/01/2009,M13 0ZY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Curr Part of Lns Repay Tfr from Invest (ST) NCB Loan,Default Group,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PF00017955,-200000,RGT.FTFF.02.2009,CB2 0QQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,WYE VALLEY NHS TRUST,PF00018056,2065000,CENT/TIFES/RLQ/2023-08-08/A,HR1 2ER,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,WYE VALLEY NHS TRUST,PF00018055,1137000,CENT/CDCHU/RLQ/2023-07-14/A,HR1 2ER,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PF00018054,2000000,CENT/TIFES/RWE/2023-11-15/A,LE5 4QF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PF00018053,28000,CENT/ENDOS/RWE/2023-07-07/A,LE5 4QF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PF00018052,5800000,CENT/ACTIF/RWE/2023-06-27/A,LE5 4QF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PF00018051,124000,CENT/SEPTC/RHM/2022-12-20/A,SO16 6YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PF00018050,87000,CENT/DDCPP/RHM/2022-11-09/A,SO16 6YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PF00018049,775000,CENT/CDCHU/RHM/2022-11-23/A,SO16 6YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,PF00018047,104000,CENT/NHPFE/RA9/2023-06-09/A,TQ2 7AN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,PF00018046,423000,CENT/NHPEN/RA9/2023-08-04/A,TQ2 7AN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,PF00018045,674000,CENT/STPIF/RCX/2023-09-13/A,PE30 4ET,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,PF00018044,2020000,CENT/RAACP/RCX/2023-04-12/A,PE30 4ET,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,PF00018043,97000,CENT/NHPFE/RCX/2023-06-09/A,PE30 4ET,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,PF00018042,4171000,CENT/EMHDS/RX2/2023-01-31/A,BN13 3EP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,PF00018041,2753000,CENT/EMHDS/RXX/2023-01-18/A,KT22 7AD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,PF00018040,669000,CENT/TIFES/RTR/2023-02-07/B,TS4 3BW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,PF00018039,4769000,CENT/ACTIF/RTR/2023-06-27/A,TS4 3BW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,ROYAL CORNWALL HOSPITAL NHS TRUST,PF00018036,37000,CENT/SCREE/REF/2023-10-10/A,TR1 3LJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,ROYAL CORNWALL HOSPITAL NHS TRUST,PF00018035,192000,CENT/NHPEN/REF/2022-12-16/B,TR1 3LJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,ROYAL CORNWALL HOSPITAL NHS TRUST,PF00018034,8000000,CENT/FLDSY/REF/2023-12-18/A,TR1 3LJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,PF00018033,668000,DHPF/SYSCP/RNS/2023-11-09/A,NN1 5BD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,PF00018032,1505000,CENT/FLDSY/RNS/2023-12-07/A,NN1 5BD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,PF00018031,90000,CENT/SCREE/RVW/2023-10-10/A,TS19 8PE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST RY3,PF00018030,678000,CENT/RAACP/RY3/2023-10-13/A,NR1 3FR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,PF00018029,6731000,CENT/STPIF/RMY/2023-04-04/A,NR6 5BE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PF00018028,8500000,CENT/NHPBU/REM/2023-09-27/A,L9 7AL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,ISLE OF WIGHT NHS TRUST,PF00018027,1262000,CENT/STPIF/R1F/2022-10-04/A,PO30 5TG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,ISLE OF WIGHT NHS TRUST,PF00018026,825000,CENT/DIGUP/R1F/2022-12-16/A,PO30 5TG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018025,400000,CENT/DDCPP/RN5/2022-11-09/A,RG24 9NA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PF00018024,60000,CENT/MISCS/RJ1/2023-12-15/A,SE1 9BB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PF00018023,439000,CENT/LUNGS/RJ1/2023-07-13/A,SE1 9BB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PF00018022,1575000,CENT/DDCPP/RJ1/2023-01-23/A,SE1 9BB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PF00018021,1290000,CENT/DDCPP/RJ1/2023-01-03/A,SE1 9BB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,PF00018020,6800000,CENT/STPIF/RXV/2021-12-16/A,M25 3BL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,EAST SUFFOLK AND NORTH ESSEX NHSFT,PF00018019,1078000,CENT/TIFES/RDE/2023-01-31/B,CO4 5JL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,EAST SUFFOLK AND NORTH ESSEX NHSFT,PF00018018,5093000,CENT/STPIF/RDE/2022-04-04/A,CO4 5JL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,EAST SUFFOLK AND NORTH ESSEX NHSFT,PF00018017,1009000,CENT/CDCHU/RDE/2022-11-16/A,CO4 5JL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,PF00018016,1542000,CENT/STPIF/RWY/2022-02-25/A,HD3 3EA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,PF00018014,998000,CENT/IMAGI/RWY/2023-07-07/A,HD3 3EA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,PF00018013,1163000,CENT/CDCHU/RWY/2023-08-14/A,HD3 3EA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,PF00018012,179000,CENT/TIFES/RXL/2023-01-03/A,FY3 8NR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,PF00018011,188000,CENT/STPIF/TAJ/2023-11-16/A,B70 9PL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,PF00018010,6491000,CENT/EMHDS/TAJ/2023-04-26/A,B70 9PL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,PF00018009,1436000,CENT/CDCHU/RFF/2022-11-07/A,S75 2PY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2024,Additions NCB PDC,Default Group,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,PF00018008,2400000,CENT/ACTIF/RFF/2023-06-27/A,S75 2PY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Expense Clearing Account - Trains (UK),Default Group,CORPORATE TRAVEL MANAGEMENT NORTH LTD,7499-R,34077,Document Range : 04 Dec 2023 to 09 Dec 2023,BD1 5HQ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Expense Clearing Account - Trains (UK),Default Group,CORPORATE TRAVEL MANAGEMENT NORTH LTD,7468-R,46903.9,Document Range : 26 Nov 2023 to 03 Dec 2023,BD1 5HQ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Expense Clearing Account - Trains (UK),Default Group,CORPORATE TRAVEL MANAGEMENT NORTH LTD,7366-R,46156.9,Document Range : 20 Nov 2023 to 24 Nov 2023,BD1 5HQ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Expense Clearing Account - Trains (UK),Default Group,CORPORATE TRAVEL MANAGEMENT NORTH LTD,7249-R,38900.35,Document Range : 13 Nov 2023 to 19 Nov 2023,BD1 5HQ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Expense Clearing Account - Trains (UK),Default Group,CORPORATE TRAVEL MANAGEMENT NORTH LTD,7056-R,39043.55,Document Range : 07 Oct 2023 to 13 Oct 2023,BD1 5HQ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Expense Clearing Account - Trains (UK),Default Group,CORPORATE TRAVEL MANAGEMENT NORTH LTD,6608-R,31239.3,Document Range : 25 Sep 2023 to 30 Sep 2023,BD1 5HQ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Expense Clearing Account - Hotels,Default Group,CORPORATE TRAVEL MANAGEMENT NORTH LTD,7468-H,30833.48,Document Range : 26 Nov 2023 to 03 Dec 2023,BD1 5HQ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PF00018007,3220000,CENT/TIFES/RK9/2022-11-14/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PF00018006,7400000,CENT/TIFES/RWE/2023-11-15/A,LE5 4QF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,PF00018005,4686000,CENT/TIFES/RTG/2022-12-13/A,DE1 2QY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,PF00018004,2410000,CENT/CDCHU/RTG/2022-08-25/A,DE1 2QY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,PF00018003,10359000,CENT/STPIF/R0D/2021-10-12/A,BH15 2JB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PF00018002,3204000,CENT/TIFES/RRK/2023-02-28/A,B15 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PF00018001,152000,CENT/IMAGI/RRK/2023-07-07/A,B15 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Additions NCB PDC,Default Group,THE DUDLEY GROUP NHS FOUNDATION TRUST,PF00018000,1990000,CENT/FLDSY/RNA/2023-11-29/A,DY1 2HQ,Govn,,,
