SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-�500 for period April 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Adi-Gardiner Ltd,726.51,11/04/2024,SS05,R2030,Operational In-House Services,Alarms - Equipment Furniture & Materials
Adi-Gardiner Ltd,901.69,12/04/2024,SS05,R2030,Operational In-House Services,Alarms - Equipment Furniture & Materials
Adi-Gardiner Ltd,"1,075.50",09/04/2024,SS05,R2030,Operational In-House Services,Alarms - Equipment Furniture & Materials
Adi-Gardiner Ltd,"1,306.67",12/04/2024,SS05,R2030,Operational In-House Services,Alarms - Equipment Furniture & Materials
Adi-Gardiner Ltd,"1,910.17",28/03/2024,SS05,R2030,Operational In-House Services,Alarms - Equipment Furniture & Materials
Adi-Gardiner Ltd,"2,820.97",25/04/2024,SS05,R2030,Operational In-House Services,Alarms - Equipment Furniture & Materials
Adi-Gardiner Ltd,"3,644.23",16/04/2024,SS05,R2030,Operational In-House Services,Alarms - Equipment Furniture & Materials
Adlib Audio Ltd,880,24/04/2024,BT19,R2498,Economic Growth and Housing,Bootle Canalside - Major Events
Adoption Matters,"2,414.00",31/03/2024,YS39,R2451,Children's Social Care,Adoption Support Fund (ASF) - Fees & Services - Other
Advanced Business Software and Solutions Ltd,"1,470.00",31/01/2024,GF13,R2470,Corporate Resources,Financial Services - Consultancy and Professional Services
Advanced Childcare Assessments Ltd,"1,830.55",23/11/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
Agilisys Ltd,535.79,15/04/2024,AA07,R2655,Adult Social Care,Assessment Teams Support - Computer Costs
Agilisys Ltd,637.92,15/04/2024,CAP1,C1000,Capital,Capital - Capital Expenditure
