PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT),
01/03/2024,BZ For Care Ltd,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,18856.2,
01/03/2024,BZ For Care Ltd,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,5314.02,
01/03/2024,BZ For Care Ltd,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,5142.6,
01/03/2024,BZ For Care Ltd,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,5314.02,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,1150,
01/03/2024,Redacted,OTHER CARE ARRANGEMENTS,CORPORATE PARENTING,SPECIAL GUARDIANSHIP PAYMENTS,424.1,
01/03/2024,Redacted,PRIVATELY MANAGED ACCOMODATION,PRIVATE SECTOR HOUSING,RENTS PAYABLE,1291.98,
01/03/2024,Ballers Sports Coaching LTD,HAF - HOUSEHOLD FUND 4,HEAD OF SERVICE FOR PREVENTION & EARLY HELP,PRIVATE CONTRACTORS PAYMENT - OTHER,3880,
01/03/2024,Ballers Sports Coaching LTD,HAF - HOUSEHOLD FUND 4,HEAD OF SERVICE FOR PREVENTION & EARLY HELP,PRIVATE CONTRACTORS PAYMENT - OTHER,4040,
01/03/2024,Ballers Sports Coaching LTD,SD: COMMUNITY SPORTS,LEISURE,PROFESSIONAL SERVICES ,1532,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,1390,
01/03/2024,Barchester Healthcare Homes Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,4871.43,
01/03/2024,Baring Lodge Residential Home,WORKING AGE MENTAL HEALTH PROVISIONS,COMMUNITY MENTAL HEALTH,RESIDENTIAL PLACEMENTS,2692.86,
01/03/2024,Baring Lodge Residential Home,WORKING AGE MENTAL HEALTH PROVISIONS,COMMUNITY MENTAL HEALTH,RESIDENTIAL PLACEMENTS,2485.72,
01/03/2024,Baring Lodge Residential Home,WORKING AGE MENTAL HEALTH PROVISIONS,COMMUNITY MENTAL HEALTH,RESIDENTIAL PLACEMENTS,2382.14,
01/03/2024,Barking Road Limited,PRIVATELY MANAGED ACCOMODATION,PRIVATE SECTOR HOUSING,RENTS PAYABLE,3256.24,
01/03/2024,Barry Stewart & Sons Ltd,PRIVATELY MANAGED ACCOMODATION,PRIVATE SECTOR HOUSING,RENTS PAYABLE,1717.91,
01/03/2024,Beckmont Ltd,PRIVATELY MANAGED ACCOMODATION,PRIVATE SECTOR HOUSING,RENTS PAYABLE,1344.59,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,950,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,850,
01/03/2024,Redacted,OTHER CARE ARRANGEMENTS,CORPORATE PARENTING,SPECIAL GUARDIANSHIP PAYMENTS,579.7,
01/03/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,2235.68,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,730.86,
01/03/2024,Redacted,OTHER CARE ARRANGEMENTS,CORPORATE PARENTING,SPECIAL GUARDIANSHIP PAYMENTS,799.1,
01/03/2024,Birketts LLP,"PROPERTY, PLANNING & ENVIRONMENT",HEAD OF LEGAL SERVICES ,LEGAL FEES,7009,
01/03/2024,Birketts LLP,SMALL & COMPLEX SITES,CAPITAL,ASSETS UNDER CONSTRUCTION COST,1530,
01/03/2024,Birketts LLP,SMALL & COMPLEX SITES,CAPITAL,ASSETS UNDER CONSTRUCTION COST,1530,
