Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208468,1296.42,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208508,699.63,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208548,522.66,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208554,549.98,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208564,632.4,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208574,993.06,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208695,567.52,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208752,2010.08,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208753,2010.08,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208768,802.32,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208787,813.09,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208854,1275.21,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208994,620,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210209006,1556.95,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210209129,874.82,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210209371,1691.63,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210209418,619.47,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210209419,758.88,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210209443,764.46,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210209519,568.72,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210209538,773.23,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210209591,721.33,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,24.04.2014,2210216474,1336.23,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,24.04.2014,2210216814,5422.34,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,01.04.2014,2210178386,1077.72,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,01.04.2014,2210178401,1077.72,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,01.04.2014,2210178486,1077.72,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,01.04.2014,2210178491,1077.72,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,01.04.2014,2210178499,1077.72,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,01.04.2014,2210178503,1077.72,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,02.04.2014,2210186885,1080.66,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,16.04.2014,2210206613,1129.04,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,17.04.2014,2210210154,1129.04,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,17.04.2014,2210210156,1129.04,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,17.04.2014,2210210158,1129.04,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,17.04.2014,2210210182,1132.12,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,17.04.2014,2210210942,1129.04,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,17.04.2014,2210210951,1129.04,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Other Rush/Hart,Payments to Private Contractors,17.04.2014,2210210953,923.76,R,YATELEY INDUSTRIES FOR THE DISABLED
Hampshire County Council,ADULT SERVICES,LD Supp/Other Accomm-Rush/Hart,Payments to Private Contractors,02.04.2014,2210187020,4860,R,CARE MANAGEMENT GROUP LIMITED
Hampshire County Council,ADULT SERVICES,LD-Adult Placement-FG,Payments to Private Contractors,29.04.2014,2210225091,8817.9,R,FAIRWAYS CARE (UK) LTD
Hampshire County Council,ADULT SERVICES,LD-Adult Placement-Hav/EHants,Payments to Private Contractors,04.04.2014,2210192770,2248.08,R,KEY2 FUTURES LTD
Hampshire County Council,ADULT SERVICES,LD-Adult Placement-Hav/EHants,Payments to Private Contractors,25.04.2014,2210219430,2914,R,KEY2 FUTURES LTD
Hampshire County Council,ADULT SERVICES,LD-Croft House Fareham,Gas,23.04.2014,1100220824,686.25,R,TOTAL GAS & POWER LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,B*Aided Transport - Home to School,15.04.2014,2210204443,700,R,ALL CARE (GB) LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,B*Aided Transport - Home to School,15.04.2014,2210204453,700,R,ALL CARE (GB) LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,B*Aided Transport - Home to School,15.04.2014,2210204461,700,R,ALL CARE (GB) LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,B*Aided Transport - Home to School,15.04.2014,2210204482,756,R,ALL CARE (GB) LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,Payments to Private Contractors,17.04.2014,2210209796,688.63,R,HIGH HURLANDS NURSING HOME
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,Payments to Private Contractors,25.04.2014,2210218442,611.05,R,THRIVE  TRUNKWELL GARDEN  PROJEC
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,Payments to Private Contractors,25.04.2014,2210218527,777.7,R,THRIVE  TRUNKWELL GARDEN  PROJEC
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,Payments to Voluntary bodies,01.04.2014,2210177393,859.07,R,ROMAN HOUSE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,Payments to Voluntary bodies,01.04.2014,2210177417,859.07,R,ROMAN HOUSE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,Payments to Voluntary bodies,01.04.2014,2210177424,859.07,R,ROMAN HOUSE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,Payments to Voluntary bodies,01.04.2014,2210177429,859.07,R,ROMAN HOUSE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,Payments to Voluntary bodies,01.04.2014,2210177457,644.3,R,ROMAN HOUSE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,Payments to Voluntary bodies,29.04.2014,2210223765,859.07,R,ROMAN HOUSE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Basingstoke,Payments to Voluntary bodies,14.04.2014,2210201958,900,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Other Local Authorities,14.04.2014,2210202567,840,R,SOUTHAMPTON DAY SERVICES
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,14.04.2014,2210202316,540,R,ALEX KELLY LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,14.04.2014,2210203010,1200,R,ALEX KELLY LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,14.04.2014,2210203030,600,R,ALEX KELLY LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,04.04.2014,2210193580,500.08,R,EQUINABLE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,04.04.2014,2210193737,742.56,R,EQUINABLE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,04.04.2014,2210193787,685.44,R,EQUINABLE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,04.04.2014,2210194397,815.62,R,FRENDS DAY SERVICE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,04.04.2014,2210194419,580,R,FRENDS DAY SERVICE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,04.04.2014,2210194446,648,R,FRENDS DAY SERVICE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,04.04.2014,2210194462,1421.28,R,FRENDS DAY SERVICE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,22.04.2014,2210212587,933.72,R,FRENDS DAY SERVICE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,14.04.2014,2210203051,576,R,NEEDS EEZED
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,14.04.2014,2210203056,512,R,NEEDS EEZED
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,03.04.2014,2210192285,1617,R,OUT OF TOWN CENTRE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,03.04.2014,2210192345,896,R,OUT OF TOWN CENTRE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,04.04.2014,2210195101,1325.94,R,PENROSE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,15.04.2014,2210203769,910,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,24.04.2014,2210216002,609.08,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,02.04.2014,2210187175,765,R,WAY AHEAD LEISURE PURSUITS LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,04.04.2014,2210197218,924.68,R,WINDWARD DAY SERVICES LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Private Contractors,24.04.2014,2210217409,583.84,R,WINDWARD DAY SERVICES LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Voluntary bodies,16.04.2014,2210206693,547.82,R,BOAZ PROJECT
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Voluntary bodies,23.04.2014,2210213723,589.96,R,BOAZ PROJECT
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Voluntary bodies,28.04.2014,2210221108,563.64,R,ENHAM
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Voluntary bodies,04.04.2014,2210196317,1029.86,R,MINSTEAD TRAINING PROJECT
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Voluntary bodies,14.04.2014,2210202384,560,R,SOUTHAMPTON SPECIAL PURPOSE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Voluntary bodies,14.04.2014,2210202386,840,R,SOUTHAMPTON SPECIAL PURPOSE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Voluntary bodies,14.04.2014,2210203152,945,R,THE STABLES
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Voluntary bodies,24.04.2014,2210217438,3652,R,THE STABLES
Hampshire County Council,ADULT SERVICES,LD-Day Care-Eastleigh & Test Valley,Payments to Voluntary bodies,28.04.2014,2210221329,585.6,R,WORKMOBILITY
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Other Local Authorities,30.04.2014,2210227019,4805.32,R,SOUTHAMPTON DAY SERVICES
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Private Contractors,15.04.2014,2210203776,2457,R,CHAOS SUPPORT LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Private Contractors,17.04.2014,2210209692,585,R,CHAOS SUPPORT LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Private Contractors,01.04.2014,2210178231,532.48,R,ORMSBY LODGE DAY CARE
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,23.04.2014,2210213728,2189.6,R,AUTISM HAMPSHIRE
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,23.04.2014,2210213750,2004,R,AUTISM HAMPSHIRE
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,03.04.2014,2210189996,2219.14,R,MIDDLEFIELD MANOR
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,04.04.2014,2210195240,559.68,R,NORTH CROFT
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,04.04.2014,2210195481,559.68,R,NORTH CROFT
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,29.04.2014,2210223803,559.68,R,NORTH CROFT
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,29.04.2014,2210223812,559.68,R,NORTH CROFT
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,17.04.2014,2210209847,592.28,R,THE NEW BLENDWORTH CENTRE LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,17.04.2014,2210209854,766.48,R,THE NEW BLENDWORTH CENTRE LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,23.04.2014,2210214514,627.12,R,THE NEW BLENDWORTH CENTRE LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,23.04.2014,2210214522,751.74,R,THE NEW BLENDWORTH CENTRE LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,23.04.2014,2210214534,826.54,R,THE NEW BLENDWORTH CENTRE LTD
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,14.04.2014,2210203144,945,R,THE STABLES
Hampshire County Council,ADULT SERVICES,LD-Day Care-FG,Payments to Voluntary bodies,15.04.2014,2210204562,585,R,THE STABLES
Hampshire County Council,ADULT SERVICES,LD-Day Care-Havant/EHants,Payments to Private Contractors,23.04.2014,2210213744,630.2,R,AUTISM HAMPSHIRE
Hampshire County Council,ADULT SERVICES,LD-Day Care-Havant/EHants,Payments to Private Contractors,15.04.2014,2210203749,2457,R,CHAOS SUPPORT LTD
