Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,10-Mar-23,51500868156,"£137,854.15","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority Payments
Milton Keynes City Council,10-Mar-23,51500869059,"£139,287.52",Access UK Limited t/a Adam,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500869065,"£148,988.31",Access UK Limited t/a Adam,Children's Services,"Access to Education, Employment and Training",Home to School - Contract
Milton Keynes City Council,10-Mar-23,51500868452,"£225,581.78","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority Payments
Milton Keynes City Council,10-Mar-23,51500868201,"£225,581.78","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority Payments
Milton Keynes City Council,10-Mar-23,51500868473,"£286,886.12","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority Payments
Milton Keynes City Council,10-Mar-23,51500868469,"£286,886.12","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority Payments
Milton Keynes City Council,10-Mar-23,51500868447,"£571,345.81","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority Payments
Milton Keynes City Council,10-Mar-23,51500710555,"£636,887.17",Buckinghamshire & Milton Keynes Fire Authority (BMKFA),Finance & Resources - Holding Accounts,Holding Accounts,Precepts - Fire
Milton Keynes City Council,10-Mar-23,51500868464,"£938,694.97","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority Payments
Milton Keynes City Council,10-Mar-23,51500868465,"£938,694.97","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority Payments
Milton Keynes City Council,10-Mar-23,51500743609,"£1,900,262.49",Thames Valley Police,Finance & Resources - Holding Accounts,Holding Accounts,Precepts - Police
Milton Keynes City Council,13-Mar-23,51500875834,"-£5,629.97",Npower Ltd,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500867344,"-£3,505.50",Alliance Foster Care Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,13-Mar-23,51500868635,"-£3,095.82",Churchill Contract Services Limited,Environment & Property,Property,Cleaning and Domestic Supplies
Milton Keynes City Council,13-Mar-23,51500875835,"-£2,283.72",Npower Ltd,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500871202,"-£1,852.82",Churchill Contract Services Limited,Environment & Property,Property,Cleaning and Domestic Supplies
Milton Keynes City Council,13-Mar-23,51500868594,"-£1,678.09",Churchill Contract Services Limited,Environment & Property,Property,Cleaning and Domestic Supplies
Milton Keynes City Council,13-Mar-23,51500875804,£515.15,Npower Ltd,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500875997,£523.87,Npower Ltd,Planning and Placemaking,Head of Economic Development,Electricity
Milton Keynes City Council,13-Mar-23,51500863281,£524.28,Teaching Personnel Ltd,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500868460,£528.00,Livewire Utilities Limited,Environment & Property,Head of Service - Env and Waste,Right of Ways Maintenance
Milton Keynes City Council,13-Mar-23,51500864321,£528.76,Premier Paper Group Ltd T/a Premier Beswick Northampton,Finance & Resources - Services,ICT,Printing
Milton Keynes City Council,13-Mar-23,51500864207,£529.73,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,13-Mar-23,51500868170,£529.90,Eastern Shires Purchasing Organisation,Adult Services,"Day Services, Short Breaks and Shared Lives",Specialist Supplies and Materials
Milton Keynes City Council,13-Mar-23,51500864094,£530.00,SieveMK Gateway,Children's Services,Special Education Needs & Disabilities,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500862311,£533.24,Priory Medical Centre,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500875642,£534.06,Npower Ltd,Environment & Property,Head of Service - Highways,Electricity
Milton Keynes City Council,13-Mar-23,51500876018,£546.17,Npower Ltd,Adult Services,Learning Disability,Electricity
Milton Keynes City Council,13-Mar-23,51500867026,£553.20,The Colour Crew LLP,Law & Governance,Democratic Services,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500864218,£558.00,RH Environmental Ltd,Finance & Resources - Services,HR,Staff Training & Development
Milton Keynes City Council,13-Mar-23,51500864034,£575.40,Geldards LLP,Planning and Placemaking,Placemaking,"New Construction, Conversion and Renovation"
Milton Keynes City Council,13-Mar-23,51500868459,£576.00,Livewire Utilities Limited,Environment & Property,Head of Service - Env and Waste,Right of Ways Maintenance
Milton Keynes City Council,13-Mar-23,51500875963,£580.48,Npower Ltd,Adult Services,Rough Sleeper,Electricity
Milton Keynes City Council,13-Mar-23,51500864059,£588.00,Matchtech,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500867133,£588.26,ADT Fire And Security Plc,Children's Services,"Access to Education, Employment and Training",Security Equipment
Milton Keynes City Council,13-Mar-23,51500875964,£589.21,Npower Ltd,Chief Executive,Chief Executive,Electricity
Milton Keynes City Council,13-Mar-23,51500863963,£604.80,Clearwater People Ltd,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500868613,£607.10,Cineworld,Children's Services,Service Director - Social Care,Catering Provisions
Milton Keynes City Council,13-Mar-23,51500868612,£607.10,Cineworld,Children's Services,Service Director - Social Care,Catering Provisions
Milton Keynes City Council,13-Mar-23,51500868210,£612.50,Curly Tails,Children's Services,Service Director - Social Care,Catering Provisions
Milton Keynes City Council,13-Mar-23,51500876006,£624.17,Npower Ltd,Environment & Property,Property,Electricity
Milton Keynes City Council,13-Mar-23,51500875124,£625.04,CME Heating Ltd,Environment & Property,Property,Building Repair and Maintenance
Milton Keynes City Council,13-Mar-23,51500875780,£628.32,Npower Ltd,Adult Services (HRA),Housing Operations (HRA),Electricity
Milton Keynes City Council,13-Mar-23,51500868457,£642.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500864221,£649.68,Clymac Ltd,Customer and Community Services,Head of Service - Regulatory,Building Repair and Maintenance
Milton Keynes City Council,13-Mar-23,51500864031,£657.36,Houghton Regis Medical Centre,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500875594,£679.79,Npower Ltd,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500868254,£690.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500875985,£700.04,Npower Ltd,Children's Services,Children's Centres Services,Electricity
Milton Keynes City Council,13-Mar-23,51500867191,£714.50,Ashburnham Road Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500875773,£738.90,Npower Ltd,Env & Prop (HRA),Property & Facilities (HRA),Electricity
Milton Keynes City Council,13-Mar-23,51500868451,£746.40,Axiom b2,Environment & Property,Passenger Transport,Buildings - Mechanical and Electrical
Milton Keynes City Council,13-Mar-23,51500875978,£748.70,Npower Ltd,Adult Services,Homeless Prevention + Access,Electricity
Milton Keynes City Council,13-Mar-23,51500876004,£761.39,Npower Ltd,Environment & Property,Property,Electricity
Milton Keynes City Council,13-Mar-23,51500864095,£770.00,SieveMK Gateway,Children's Services,Special Education Needs & Disabilities,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500876000,£778.67,Npower Ltd,Planning and Placemaking,Head of Economic Development,Electricity
Milton Keynes City Council,13-Mar-23,51500875347,£780.00,A M & M J Harper,Environment & Property,Head of Service - Env and Waste,Landscaping
Milton Keynes City Council,13-Mar-23,51500864057,£810.00,Matchtech,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500875300,£820.49,MyMiltonKeynes Limited,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500876019,£833.67,Npower Ltd,Adult Services (HRA),Housing Operations (HRA),Electricity
Milton Keynes City Council,13-Mar-23,51500875646,£836.66,Npower Ltd,Adult Services (HRA),HRA Sheltered Housing,Electricity
Milton Keynes City Council,13-Mar-23,51500868203,£863.76,Chiltern Invadex (UK) Limited,Children's Services,Corporate Parenting,Specialist Servicing and Maintenance
Milton Keynes City Council,13-Mar-23,51500875958,£869.15,Npower Ltd,Children's Services,Corporate Parenting,Electricity
Milton Keynes City Council,13-Mar-23,51500875579,£877.09,Npower Ltd,Adult Services (HRA),HRA Sheltered Housing,Electricity
Milton Keynes City Council,13-Mar-23,51500864092,£880.00,SieveMK Gateway,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500863753,£890.40,"G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,13-Mar-23,51500875843,£906.72,Npower Ltd,Adult Services (HRA),HRA Sheltered Housing,Electricity
Milton Keynes City Council,13-Mar-23,51500868395,£919.20,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,13-Mar-23,51500875972,£921.47,Npower Ltd,Children's Services,Corporate Parenting,Electricity
Milton Keynes City Council,13-Mar-23,51500875720,£931.46,Npower Ltd,Adult Services (HRA),HRA Sheltered Housing,Electricity
Milton Keynes City Council,13-Mar-23,51500864063,£935.00,SieveMK Gateway,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500864064,£935.00,SieveMK Gateway,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500875800,£959.62,Npower Ltd,Adult Services (HRA),HRA Sheltered Housing,Electricity
Milton Keynes City Council,13-Mar-23,51500875857,"£1,015.40",Npower Ltd,Adult Services (HRA),HRA Sheltered Housing,Electricity
Milton Keynes City Council,13-Mar-23,51500874897,"£1,022.78",CME Heating Ltd,Environment & Property,Property,Building Repair and Maintenance
Milton Keynes City Council,13-Mar-23,51500875956,"£1,023.37",Npower Ltd,Children's Services,Children's Social Work,Electricity
Milton Keynes City Council,13-Mar-23,51500864226,"£1,058.94",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,13-Mar-23,51500868174,"£1,060.80",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,13-Mar-23,51500876028,"£1,096.14",Npower Ltd,Environment & Property,Head of Service - Highways,Electricity
Milton Keynes City Council,13-Mar-23,51500864097,"£1,100.00",MIND BLMK,Public Health,Misc Public Health Services,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500875638,"£1,131.29",Npower Ltd,Adult Services (HRA),HRA Sheltered Housing,Electricity
Milton Keynes City Council,13-Mar-23,51500875730,"£1,141.80",Npower Ltd,Children's Services,Children's Centres Services,Electricity
Milton Keynes City Council,13-Mar-23,51500863256,"£1,154.40",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,13-Mar-23,51500864035,"£1,155.00",Carrington West Ltd,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500875606,"£1,160.40",Npower Ltd,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500875799,"£1,170.62",Npower Ltd,Adult Services (HRA),Housing Operations (HRA),Electricity
Milton Keynes City Council,13-Mar-23,51500864238,"£1,180.80",Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,13-Mar-23,51500863756,"£1,186.50","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,13-Mar-23,51500875592,"£1,231.12",Npower Ltd,Adult Services (HRA),HRA Sheltered Housing,Electricity
Milton Keynes City Council,13-Mar-23,51500875811,"£1,235.51",Npower Ltd,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500875803,"£1,263.96",Npower Ltd,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500864252,"£1,283.33",National World Publishing Limited,Planning and Placemaking,Planning,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,13-Mar-23,51500863210,"£1,290.00",ADEPT,Environment & Property,Director Environment and Property,Subscriptions
Milton Keynes City Council,13-Mar-23,51500863980,"£1,293.60",Clearwater People Ltd,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,13-Mar-23,51500875814,"£1,301.71",Npower Ltd,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500875808,"£1,308.73",Npower Ltd,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500862256,"£1,313.24",Grand Union Housing Group,Adult Services,Learning Disability,Rents and Leases
Milton Keynes City Council,13-Mar-23,51500876023,"£1,317.32",Npower Ltd,Children's Services,Children's Centres Services,Electricity
Milton Keynes City Council,13-Mar-23,51500863770,"£1,332.00",The Oyster Partnership Ltd,Customer and Community Services,Community Safety,Recruitment Costs
Milton Keynes City Council,13-Mar-23,51500875807,"£1,355.15",Npower Ltd,Environment & Property,Head of Service - Env and Waste,Electricity
Milton Keynes City Council,13-Mar-23,51500864036,"£1,366.52",Carrington West Ltd,Environment & Property,Head of Service - Highways,Agency Staff
