Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,19/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",In Your Space Circus,2100345547,COF24 012 IN YOUR SPACE CIRCUS LTD,BT48 6HF,"£149,999.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,BARNSLEY MBC,3700286836,Grant payable by the Exchequer,S70 2AQ,"£274,007.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,BIRMINGHAM CITY CNCL,3700286835,Grant payable by the Exchequer,B3 3AB,"£1,189,823.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,BLACKBURN WITH DARWEN BC,3700286887,Grant payable by the Exchequer,BB1 7DY,"£109,777.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,BLACKPOOL BC,3700286662,Grant payable by the Exchequer,FY1 1NA,"£50,793.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,BOLTON MBC,3700286747,Grant payable by the Exchequer,BL1 1RU,"£163,840.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,BURY MBC,3700286953,Grant payable by the Exchequer,BL9 0SP,"£84,646.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,CITY OF LINCOLN COUNCIL,3700286974,Grant payable by the Exchequer,LN1 1DB,"£56,433.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,COVENTRY CITY CNCL,3700286944,Grant payable by the Exchequer,CV1 2QL,"£398,464.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,CROYDON LB,3700286871,Grant payable by the Exchequer,CR0 1EA,"£93,885.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,CROYDON LB,3700286871,Grant payable by the Exchequer,CR0 1EA,"£66,058.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,CROYDON LB,3700286871,Grant payable by the Exchequer,CR0 1EA,"£302,436.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,DERBY CITY CNCL,3700286862,Grant payable by the Exchequer,DE1 2FS,"£30,533.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,DERBY CITY CNCL,3700286862,Grant payable by the Exchequer,DE1 2FS,"£156,483.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,DONCASTER MBC,3700286700,Grant payable by the Exchequer,DN1 3AN,"£169,194.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,DONCASTER MBC,3700286700,Grant payable by the Exchequer,DN1 3AN,"£38,794.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,DONCASTER MBC,3700286700,Grant payable by the Exchequer,DN1 3AN,"£210,270.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,Dudley Metropolitan Borough Council,3700286963,Grant payable by the Exchequer,DY1 1HF,"£230,083.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,DURHAM COUNTY COUNCIL,3700286841,Grant payable by the Exchequer,DH1 5UE,"£28,328.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,DURHAM COUNTY COUNCIL,3700286841,Grant payable by the Exchequer,DH1 5UE,"£225,757.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,GREENWICH LB,3700286647,Grant payable by the Exchequer,SE18 6HQ,"£491,057.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,GREENWICH LB,3700286647,Grant payable by the Exchequer,SE18 6HQ,"£496,586.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,HACKNEY LB,3700286768,Grant payable by the Exchequer,E8 4RU,"£1,107,209.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,HALTON BC,3700286873,Grant payable by the Exchequer,WA8 7QF,"£165,123.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,HARINGEY COUNCIL,3700286657,Grant payable by the Exchequer,N22 7TR,"£114,121.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,HARINGEY COUNCIL,3700286657,Grant payable by the Exchequer,N22 7TR,"£334,299.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,HARROW LB,3700286949,Grant payable by the Exchequer,HA1 2UZ,"£26,534.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,HARROW LB,3700286949,Grant payable by the Exchequer,HA1 2UZ,"£77,034.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,HARROW LB,3700286949,Grant payable by the Exchequer,HA1 2UZ,"£60,446.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,HARTLEPOOL BOROUGH COUNCIL,3700286829,Grant payable by the Exchequer,TS24 8AY,"£63,013.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,HARTLEPOOL BOROUGH COUNCIL,3700286829,Grant payable by the Exchequer,TS24 8AY,"£39,642.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,HULL CITY COUNCIL,3700286665,Grant payable by the Exchequer,HU1 2AA,"£100,521.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,ISLE OF WIGHT CNCL,3700286855,Grant payable by the Exchequer,PO30 1UD,"£224,382.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,ISLE OF WIGHT CNCL,3700286855,Grant payable by the Exchequer,PO30 1UD,"£168,651.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,KNOWSLEY MBC,3700286968,Grant payable by the Exchequer,L36 9YZ,"£100,831.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LEWISHAM LB,3700286883,Grant payable by the Exchequer,SE6 4RU,"£78,635.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LEWISHAM LB,3700286883,Grant payable by the Exchequer,SE6 4RU,"£173,303.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LIVERPOOL CITY COUNCIL,3700286852,Grant payable by the Exchequer,L2 2DH,"£526,755.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LONDON BOROUGH OF LAMBETH,3700286943,Grant payable by the Exchequer,SW2 1RL,"£332,980.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LONDON BOROUGH OF LAMBETH,3700286943,Grant payable by the Exchequer,SW2 1RL,"£61,281.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LONDON BOROUGH OF LAMBETH,3700286943,Grant payable by the Exchequer,SW2 1RL,"£353,478.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LONDON BOROUGH OF NEWHAM,3700286880,Grant payable by the Exchequer,E16 2QU,"£33,802.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LONDON BOROUGH OF NEWHAM,3700286880,Grant payable by the Exchequer,E16 2QU,"£540,610.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LONDON BOROUGH OF REDBRIDGE,3700286814,Grant payable by the Exchequer,IG1 1NN,"£97,445.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LONDON BOROUGH OF REDBRIDGE,3700286814,Grant payable by the Exchequer,IG1 1NN,"£139,091.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LUTON BC,3700286649,Grant payable by the Exchequer,LU1 2BQ,"£337,425.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LUTON BC,3700286649,Grant payable by the Exchequer,LU1 2BQ,"£101,486.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,LUTON BC,3700286649,Grant payable by the Exchequer,LU1 2BQ,"£263,271.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,MIDDLESBROUGH BC,3700286743,Grant payable by the Exchequer,TS1 9GA,"£46,762.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,MIDDLESBROUGH BC,3700286743,Grant payable by the Exchequer,TS1 9GA,"£68,274.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,NEWCASTLE CITY COUNCIL,3700286650,Grant payable by the Exchequer,NE99 2BN,"£116,663.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,NEWCASTLE CITY COUNCIL,3700286650,Grant payable by the Exchequer,NE99 2BN,"£107,702.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,NORTH TYNESIDE MBC,3700286918,Grant payable by the Exchequer,NE27 0BY,"£205,764.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,NORTH TYNESIDE MBC,3700286918,Grant payable by the Exchequer,NE27 0BY,"£84,244.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,NORTHUMBERLAND COUNTY COUNCIL,3700286636,Grant payable by the Exchequer,NE61 2EF,"£51,059.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,NORTHUMBERLAND COUNTY COUNCIL,3700286636,Grant payable by the Exchequer,NE61 2EF,"£315,365.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,NOTTINGHAM CITY COUNCIL,3700286753,Grant payable by the Exchequer,NG2 3NG,"£372,440.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cur Grant (Non AEF) to Local Authority,Local Government & Public Services,NOTTINGHAM CITY COUNCIL,3700286753,Grant payable by the Exchequer,NG2 3NG,"£173,465.00",,Local Government & Public Services,Nico Heslop
