Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Whitburn Jnr Kitchen,Catering Provisions,01/06/23,330.70,£0.00,Hopwells Ltd,217250,Revenue,10916605731
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Leaving Care Service,Other Service Contracts & Supplies,01/06/23,88.99,£0.00,Ancestry Dna,213300,Revenue,10916605509
South Tyneside Council,00CL,Business and Resources,Haven point,Property Reactive / General Repairs,01/06/23,97.68,£0.00,Metals4U,222950,Revenue,10916605811
South Tyneside Council,00CL,"Children, Adults & Health",Learning & Early Help,Ukraine Refugees,02/06/23,"£2,500.00",£0.00,The Post Office,237056,Revenue,JUNE23-001
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Training Expenses,In House Fostering,02/06/23,500.00,£0.00,Network Training North East,213800,Revenue,STC173592
South Tyneside Council,00CL,Business & Resources Group,Coroners Services,Coroners Service,02/06/23,532.34,£0.00,Gateshead Health NHS Trust,237020,Revenue,STC173728
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Engineer Works D.L.O. - Cont. Highways,02/06/23,538.00,£0.00,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227630,Revenue,STC173734
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,02/06/23,540.92,£0.00,Redacted - personal info,710020,Revenue,STC173750
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,02/06/23,554.21,£0.00,Sunbelt Rentals Ltd (formerly Ashtead Plant Hire Company Limited),227000,Revenue,STC173785
South Tyneside Council,00CL,Business & Resources Group,Other Service Contracts & Supplies,Libraries Admin,02/06/23,561.71,£0.00,The Society of Chief Librarians (Libraries Connected),223170,Revenue,STC173803
