query agr_getbrowser 'Monthly Spend Report (SE)',,,,,,,,,
sort,,,,,,,,,
columns,text apar_id,text xapar_id,amount,text account,text xaccount,text pay_date__1,text voucher_no,text xstr20dim_1,text xdim_1
,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
"subtotal,outline ",,,,,,,,,
INSERTED DETAIL,701983,Blakenhall Neighbourhood Nursery,"11,022.48",R5035,TPP - Private Nursery Education Funding,23/05/2023,191147075,Early Years,Early Years Entitlement Funding for Disadvantaged 2 Year Olds
INSERTED DETAIL,701999,Blue Mountain Foods Limited,532.00,R4102,Provisions (Resale),15/05/2023,130387361,Catering,Civic Centre Catering
INSERTED DETAIL,702008,BME Travel,"1,764.64",R3042,Client Transport,03/05/2023,130388087,Transportation,Special  Transport
INSERTED DETAIL,702008,BME Travel,"3,176.28",R3042,Client Transport,31/05/2023,130390792,Transportation,Special  Transport
INSERTED DETAIL,702008,BME Travel,"1,623.70",R3042,Client Transport,03/05/2023,130388088,Transportation,Special  Transport
INSERTED DETAIL,702008,BME Travel,"2,924.64",R3042,Client Transport,31/05/2023,130390793,Transportation,Special  Transport
INSERTED DETAIL,702040,Bottomline Technologies Europe Limited,131.40,R4400,Services - Professional Fees,05/05/2023,130388450,Digital and IT,Agresso System Support
INSERTED DETAIL,702041,Boulton Travel Limited,"1,249.40",R3042,Client Transport,04/05/2023,130388285,Transportation,Special  Transport
INSERTED DETAIL,702041,Boulton Travel Limited,"1,381.30",R3042,Client Transport,04/05/2023,130388290,Transportation,Special  Transport
INSERTED DETAIL,702041,Boulton Travel Limited,"1,276.00",R3042,Client Transport,04/05/2023,130388287,Transportation,Special  Transport
INSERTED DETAIL,702041,Boulton Travel Limited,"1,508.70",R3042,Client Transport,04/05/2023,130388288,Transportation,Special  Transport
INSERTED DETAIL,702041,Boulton Travel Limited,"1,375.00",R3042,Client Transport,04/05/2023,130388291,Transportation,Special  Transport
INSERTED DETAIL,702041,Boulton Travel Limited,"1,500.10",R3042,Client Transport,04/05/2023,130388293,Transportation,Special  Transport
