Transparency Report September 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Total
Stoke City Council,4CAF,Children and Family Services,EG222,Other establishments,45174.999444444446,SOT0976974,CARE FOR ME HOUSING AND SUPPORT LLP,4317.99
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45197.999444444446,SOT0987361,Care Today,3366
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45190.999444444446,SOT0984494,Care Today,837.99
Stoke City Council,4CAF,Children and Family Services,ea149,Independent units within CC,45174.999444444446,SOT0977771,Care Today,8294.82
Stoke City Council,4CAF,Children and Family Services,ea149,Independent units within CC,45174.999444444446,SOT0977773,Care Today,14804.7
Stoke City Council,4CAF,Children and Family Services,ea149,Independent units within CC,45174.999444444446,SOT0977776,Care Today,17584.8
Stoke City Council,4CAF,Children and Family Services,ea149,Independent units within CC,45174.999444444446,SOT0977779,Care Today,17584.8
Stoke City Council,4CAF,Children and Family Services,ea149,Independent units within CC,45174.999444444446,SOT0977785,Care Today,20828.4
Stoke City Council,4CAF,Children and Family Services,ea149,Independent units within CC,45174.999444444446,SOT0977786,Care Today,20828.4
Stoke City Council,4CAF,Children and Family Services,ea149,Independent units within CC,45174.999444444446,SOT0977787,Care Today,20828.4
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45169.999444444446,SOT0975853,Caretech Community Services Ltd,18214.29
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45169.999444444446,SOT0975856,Caretech Community Services Ltd,18214.29
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45190.999444444446,SOT0984503,Caretech Community Services Ltd,16607.14
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45190.999444444446,SOT0984501,Caretech Community Services Ltd,18821.43
