Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,Meadows Care Limited,1001434,91213,03/10/2023,"23,764.29",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Meadows Care Limited,1001434,91214,03/10/2023,"10,275.00",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,CARE PERSPECTIVES LTD,1139890,91215,02/10/2023,"53,142.68",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Care Today Childrens Services,1001626,91219,03/10/2023,"24,745.81","4,124.30",External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Exceptional Care Ltd,1007377,91222,03/10/2023,"39,857.13",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Optimum Child Care Ltd,1007358,91232,06/10/2023,"25,692.90",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Appletree Treatment Centre Ltd,1000482,91233,03/10/2023,"21,180.00",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,UNION HOUSE NW LTD,1139470,91263,03/10/2023,"19,988.66",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,North Liverpool Construction Ltd (Fac067),1003477,91312,05/10/2023,625.66,104.28,Balance Sheet,90000,19081,VAT ADJUSTMENT,Not Applicable,,NA,Not Applicable,NA,Not Applicable,NA,Not Applicable
Blackpool Council,Remedian It Solutions Ltd,1003035,91348,03/10/2023,383.94,63.99,Boundary Primary - General,10082,63521,Landline - Line Rental,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED071,Boundary Park Community
