Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
LINDISFARNE COURT,57714366,05/08/2024,"5,005.39",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
LINDISFARNE COURT,57714366,05/08/2024,"2,475.59",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
LINDISFARNE COURT,57715752,19/08/2024,"6,396.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
LINDISFARNE COURT,57715766,19/08/2024,"16,615.28",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,715,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,104.88",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,936.15,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,662.93,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,886.15,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,956.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,567.65,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,158.71",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,600.24,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,695.23,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,926.97,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,679.69,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,695.23,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,933.47,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,042.84",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,158.71",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,212.52",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,267.34",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,520.81",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,267.34",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,760.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,212.52",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,212.52",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,212.52",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,212.52",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,760.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,267.34",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,212.52",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,267.34",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,774.27",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAKING SPACE,57714363,05/08/2024,901.81,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714352,05/08/2024,"2,038.99",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714358,05/08/2024,"3,089.44",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714340,05/08/2024,659.02,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714358,05/08/2024,"4,662.66",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11163288,05/08/2024,"10,786.44",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11163289,05/08/2024,"1,534.32",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714363,05/08/2024,"10,519.48",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714363,05/08/2024,"1,704.52",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714352,05/08/2024,"11,978.23",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714363,05/08/2024,"2,343.72",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714363,05/08/2024,589.65,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11163284,05/08/2024,"1,384.32",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11163285,05/08/2024,"3,871.84",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11163286,05/08/2024,"7,743.68",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11163287,05/08/2024,"3,871.84",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714340,05/08/2024,"17,392.09",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714363,05/08/2024,"14,394.30",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714340,05/08/2024,"1,055.42",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714352,05/08/2024,"5,168.07",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714358,05/08/2024,"1,055.42",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714352,05/08/2024,639.2,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714352,05/08/2024,"1,932.46",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714358,05/08/2024,"2,076.15",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714352,05/08/2024,"17,669.55",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57714358,05/08/2024,"11,282.54",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57715736,19/08/2024,"11,445.72",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57715736,19/08/2024,"73,331.43",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57715736,19/08/2024,"3,200.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57715736,19/08/2024,"3,008.57",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57715736,19/08/2024,"17,820.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57715736,19/08/2024,"12,640.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MARTIN GRAY FOOTBALL ACADEMY LTD,57714354,05/08/2024,"29,310.00",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MARTIN GRAY FOOTBALL ACADEMY LTD,57714354,05/08/2024,900,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MARTIN GRAY FOOTBALL ACADEMY LTD,55573908,23/02/2024,760,Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
MEDeQUIP,55576197,30/06/2024,"11,156.25",Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
MENCAP,57714353,05/08/2024,634.56,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MENCAP,57714353,05/08/2024,"43,648.36",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MENCAP,57714353,05/08/2024,"15,411.65",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MENCAP,57714353,05/08/2024,634.56,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MIDDLETON HALL NURSING HOME,57715754,19/08/2024,"10,320.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MILBURY CARE SERVICE LTD,57715786,19/08/2024,"18,470.19",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MILBURY CARE SERVICE LTD,57715786,19/08/2024,"11,015.79",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57715765,19/08/2024,"12,720.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57715765,19/08/2024,"47,262.86",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57715765,19/08/2024,"19,341.71",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57715765,19/08/2024,"9,887.04",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57715765,19/08/2024,"7,368.24",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57715765,19/08/2024,"5,322.86",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57715765,19/08/2024,"3,120.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57715765,19/08/2024,"7,354.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MISS JOSIE CANHAM-WILLIAMS,55579982,02/08/2024,882.08,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
MOORLANDS CARE,57714356,05/08/2024,"1,292.29",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOORLANDS CARE,57715757,19/08/2024,"3,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOORLANDS CARE,57715757,19/08/2024,"15,600.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOORLANDS CARE,57714356,05/08/2024,"6,384.82",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOORLANDS CARE,57715757,19/08/2024,"1,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MYLIFE SUPPORTED LIVING LTD (BURBANK),57715731,19/08/2024,"11,824.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NEEM TREE CARE HOME,57715758,19/08/2024,"4,830.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57715759,19/08/2024,"71,795.71",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57715759,19/08/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57715759,19/08/2024,790,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57715759,19/08/2024,"12,531.44",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57715759,19/08/2024,"3,124.28",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57715759,19/08/2024,"12,920.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57715759,19/08/2024,"17,704.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTHERN LIFE CARE LTD,57714369,05/08/2024,"1,791.90",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTHERN LIFE CARE LTD,57714369,05/08/2024,"87,999.74",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTHERN LIFE CARE LTD,57714369,05/08/2024,"9,380.82",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTHERN LIFE CARE LTD,57714369,05/08/2024,"16,558.78",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
OAKLODGE CARE HOME,57715760,19/08/2024,"4,322.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
OAKLODGE CARE HOME,57715760,19/08/2024,"20,664.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
OAKLODGE CARE HOME,57715760,19/08/2024,"2,952.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
OAKLODGE CARE HOME,57715760,19/08/2024,"2,952.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ONE CALL CARE SOLUTIONS LTD,57714327,05/08/2024,"129,838.01",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ORBIS SUPPORT LIMITED,57714359,05/08/2024,"45,252.48",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PARAMOUNT CARE EASINGTON LTD,57715741,19/08/2024,"4,868.80",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PARKLANE PLOWDEN CHAMBERS,55579401,31/07/2024,600,Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PEART ACCESS RAMPS LTD,55575870,25/06/2024,877,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
POPULAR CARE LTD,57715785,19/08/2024,"6,240.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POPULAR CARE LTD,57715785,19/08/2024,"6,240.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POPULAR CARE LTD,57715785,19/08/2024,"4,680.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POPULAR CARE LTD,57715785,19/08/2024,"26,520.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POPULAR CARE LTD,57715785,19/08/2024,"1,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57714365,05/08/2024,"5,839.91",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57714365,05/08/2024,"4,268.03",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57714365,05/08/2024,"59,192.51",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57714365,05/08/2024,"2,117.24",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57714365,05/08/2024,"9,311.70",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57714365,05/08/2024,"25,524.69",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57714365,05/08/2024,"2,185.96",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57714365,05/08/2024,748.02,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POTENS,57714360,05/08/2024,"26,938.23",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POTENS,57714360,05/08/2024,"19,544.75",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POTENS,57715755,19/08/2024,"17,138.36",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POTENS,57714360,05/08/2024,"8,865.15",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PRESTIGE CARE (AUGUSTE COMMUNITIES),57715756,19/08/2024,"4,760.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PRESTIGE CARE (AUGUSTE COMMUNITIES),57715756,19/08/2024,"9,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PRESTIGE CARE (AUGUSTE COMMUNITIES),57715756,19/08/2024,"32,044.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PRESTIGE CARE (AUGUSTE COMMUNITIES),57715756,19/08/2024,"6,480.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PRESTIGE CARE (AUGUSTE COMMUNITIES),57715756,19/08/2024,"2,314.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PSYCH TWO LIMITED,55579188,08/07/2024,"4,067.80",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
PSYCH TWO LIMITED,55579585,31/07/2024,"2,433.40",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
REDWORTH HOUSE,57715761,19/08/2024,"3,209.24",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RICHMOND COURT,57715762,19/08/2024,"2,044.48",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RICHMOND FELLOWSHIP,57714362,05/08/2024,"1,246.09",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57715763,19/08/2024,"54,014.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57715763,19/08/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57715763,19/08/2024,"3,160.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57715763,19/08/2024,"11,220.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57715763,19/08/2024,"4,175.72",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57715763,19/08/2024,"5,785.72",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ROTHERWOOD HEALTHCARE LTD,57716237,23/08/2024,"5,379.57",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ROXBURGH HOUSE CARE HOME,57715764,19/08/2024,"1,102.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SALUTEM SHARED SERVICES - HARMONY HOUSE,57715746,19/08/2024,"1,132.80",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SALUTEM SHARED SERVICES - HARMONY HOUSE,57715724,19/08/2024,"6,840.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SANCTUARY SUPPORTED LIVING,57714364,05/08/2024,"8,891.24",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SANCTUARY SUPPORTED LIVING,57714364,05/08/2024,"16,201.86",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SEAVIEW HAVEN,57715767,19/08/2024,"4,054.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SEVEN SPRINGS CARE HOME,57715768,19/08/2024,"5,837.08",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SPRINGFIELD CARE HOME LIMITED,57715769,19/08/2024,"51,024.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SPRINGFIELD CARE HOME LIMITED,57715769,19/08/2024,"25,993.43",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SPRINGFIELD CARE HOME LIMITED,57715769,19/08/2024,"2,635.72",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST AIDENS COTTAGE,57715770,19/08/2024,"9,372.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST AIDENS COTTAGE,57715770,19/08/2024,"6,500.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST BEDES RESIDENTIAL HOME,57715771,19/08/2024,"1,918.12",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST CUTHBERTS CARE,57715772,19/08/2024,"3,240.56",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST HELENS NURSING HOME,57715773,19/08/2024,"1,946.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST HELENS NURSING HOME,57715773,19/08/2024,"3,766.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
STOCKTON ON TEES BOROUGH COUNCIL,55579297,29/07/2024,"126,935.50",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
STOCKTON ON TEES BOROUGH COUNCIL,55578974,29/07/2024,"12,159.92",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SUSASH MIDDLESBROUGH LTD ST MARY'S CARE HOME,57715774,19/08/2024,"3,662.32",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
TEES GRANGE HEALTH CARE LIMITED T/A EXEMPLAR HEALTH CARE,57715776,19/08/2024,"7,812.76",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE ARK CARE PRINCEIPLES,57714367,05/08/2024,"3,440.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE AVENUE,57715777,19/08/2024,"7,168.56",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE AVENUE,57715777,19/08/2024,"3,544.56",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715780,19/08/2024,"3,724.29",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715780,19/08/2024,"85,461.43",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715780,19/08/2024,"4,062.86",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715780,19/08/2024,"12,720.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715780,19/08/2024,"6,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715780,19/08/2024,"10,067.14",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715781,19/08/2024,"2,430.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715781,19/08/2024,"1,620.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715781,19/08/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715781,19/08/2024,"81,287.55",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715781,19/08/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715781,19/08/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715781,19/08/2024,"7,868.57",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715781,19/08/2024,"8,690.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57715781,19/08/2024,"24,582.85",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
