DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,Revised Report Amount,Revised Report Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8308,930.44,930.44,West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8319,828.04,828.04,West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8390,757.52,757.52,West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8423,616.16,616.16,West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8439,"1,749.44","1,749.44",West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8550,700,700,West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8588,664.96,664.96,West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8618,862.88,862.88,West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8629,984.2,984.2,West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8634,504,504,West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8662,720,720,West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8730,"1,154.76","1,154.76",West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8752,752.96,752.96,West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,8789,"3,216.00","3,216.00",West Adults (under 65) Sensory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,8812,515.2,515.2,West Adults (under 65) Sensory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8831,"1,989.12","1,989.12",West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8879,"1,270.56","1,270.56",West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8893,640,640,West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,8894,"8,530.00","8,530.00",West Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8909,976.96,976.96,West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7274,837.84,837.84,Central Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7278,"11,326.00","11,326.00",Central OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7295,522.84,522.84,Central Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7296,528.72,528.72,Central Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7297,"3,672.00","3,672.00",Central OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,REDACTED,23/05/2023,7306,517.48,517.48,Central OP (under 65) Mental Health - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7314,"3,062.08","3,062.08",Central Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7328,"2,755.96","2,755.96",Central OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7332,"4,004.40","4,004.40",Central OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7368,646.48,646.48,West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7422,763.24,763.24,West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7429,749.24,749.24,West/South MH Memory Support (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7463,"1,000.00","1,000.00",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7475,"1,095.04","1,095.04",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7576,935.24,935.24,West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7583,700,700,West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7596,"1,056.00","1,056.00",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7616,847.24,847.24,West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7698,"1,136.92","1,136.92",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7741,"1,287.24","1,287.24",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7777,900,900,West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7895,827.28,827.28,West/South MH PD Support (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7896,860.04,860.04,West/South MH Support OP (over 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7927,"1,067.76","1,067.76",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7933,"1,232.24","1,232.24",West/South MH PD Support (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7943,837,837,West/South MH PD Support (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,7945,701.6,701.6,West/South MH LD Support (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8055,826.4,826.4,West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8081,"2,124.84","2,124.84",West/South MH LD Support (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8186,776.04,776.04,West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8240,"4,209.60","4,209.60",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8260,"3,788.04","3,788.04",West/South MH LD Support (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8285,802.04,802.04,West/South MH LD Support (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8294,"2,031.28","2,031.28",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8321,600,600,West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8360,858.44,858.44,West/South MH Support OP (over 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8382,819.24,819.24,West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8397,"1,611.88","1,611.88",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8413,"1,179.32","1,179.32",West/South MH Memory Support (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8434,"2,567.24","2,567.24",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8522,"1,681.64","1,681.64",West/South MH Memory Support (under 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8657,847.24,847.24,West/South MH PD Support (over 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,23/05/2023,8973,"2,101.80","2,101.80",West/South MH Support OP (over 65) - DP/Mgd,,Individual (Non Business)
