Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000326328,REDACTED PERSONAL INFORMATION,10/12/2024,"6,862.80","1,143.80",Housing Needs,LAHF properties,Void repair work
0000326329,VIVID RESOURCING,10/12/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000326330,VIVID RESOURCING,10/12/2024,"1,539.00",256.50,Planning,Planning Policy and Implement,Agency Staff
0000326331,GLASDON UK LTD,10/12/2024,"5,658.22",943.03,Depot,Grounds Maintenance,Operational equip mats & suppl
0000326332,DORAN FARMS,10/12/2024,"1,386.00",231.00,Depot,Environmental Enhancements,Grounds maintained noncontract
0000326334,REDACTED PERSONAL INFORMATION,13/12/2024,"6,180.00","1,030.00",Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000326335,GLASDON UK LTD,13/12/2024,751.44,125.24,Community Safety and Corporate Services,Grounds Maintenance,Operational Equipment purchase
0000326336,PHASE 3 CONSULTING LTD,10/12/2024,"6,390.00","1,065.00",Leisure,Human Resources,Consultants fees
0000326337,REDACTED PERSONAL INFORMATION,10/12/2024,"4,696.25",0.00,Car Parks,Members Expenses,Consultants fees
0000326338,REDACTED PERSONAL INFORMATION,10/12/2024,"1,965.00",0.00,Community Safety and Corporate Services,Spelthorne Youth Hub,Consultants fees
0000326342,REDACTED PERSONAL INFORMATION,13/12/2024,"5,400.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326343,REDACTED PERSONAL INFORMATION,13/12/2024,"2,880.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326344,REDACTED PERSONAL INFORMATION,13/12/2024,"5,400.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326348,REDACTED PERSONAL INFORMATION,13/12/2024,"3,600.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326350,REDACTED PERSONAL INFORMATION,13/12/2024,"2,850.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326351,REDACTED PERSONAL INFORMATION,13/12/2024,"3,600.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326352,REDACTED PERSONAL INFORMATION,13/12/2024,"3,600.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326353,ECOTRICITY GROUP LIMITED,10/12/2024,991.95,47.24,Asset Management,Thameside House,Gas
0000326354,REDACTED PERSONAL INFORMATION,13/12/2024,"5,550.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326355,REDACTED PERSONAL INFORMATION,13/12/2024,"5,400.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326357,REDACTED PERSONAL INFORMATION,13/12/2024,"2,400.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326358,REDACTED PERSONAL INFORMATION,13/12/2024,"3,600.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326359,REDACTED PERSONAL INFORMATION,13/12/2024,"5,550.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326360,REDACTED PERSONAL INFORMATION,13/12/2024,"1,950.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326362,REDACTED PERSONAL INFORMATION,13/12/2024,"1,800.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326364,REDACTED PERSONAL INFORMATION,17/12/2024,"7,650.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
