Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905948975,45148,DIDDY DAYCARE CROXTETH,2515.5
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905949078,45148,UP AND AWAY,2465.23
Capital Regen,Capital Regen,Misc- General,5101076544,45148,RESHAPED LTD,2400
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905949013,45148,KIDS WORLD,2332.2
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905950312,45148,COMFORT CALL LTD,2273.96
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101076526,45148,J MAGUIRE TRAVEL,2240
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905949247,45148,****REDACTED PERSONAL INFO****,2175.69
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076605,45148,OPTIMA HEALTH & SOCIAL CARE LTD,2160
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905948985,45148,FIRST FOOTSTEPS,2106
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905949011,45148,KIDS IN BLOOM,1993.5
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905948889,45148,KING DAVID & HAROLD HOUSE FOUNDATIO,1991.67
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905948969,45148,CLUBMOOR NURSERY LTD,1989
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905948998,45148,HUNTS CROSS CHILDRENS CENTRE NURSER,1911
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905949052,45148,ROSEBUDS DAY NURSERY LTD,1883.7
