Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084995,1,202305,Barclaycard - Global Commercial Payments,-0.23 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086364,1,202305,Barclaycard - Global Commercial Payments,364.05 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086872,1,202305,Barclaycard - Global Commercial Payments,95.40 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200086929,1,202305,Barclaycard - Global Commercial Payments,39.50 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200087067,1,202305,Barclaycard - Global Commercial Payments,16.49 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200087358,1,202305,Barclaycard - Global Commercial Payments,122.42 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200087871,1,202305,Barclaycard - Global Commercial Payments,8.99 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200088342,1,202305,Barclaycard - Global Commercial Payments,158.98 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200097139,1,202305,Barclaycard - Global Commercial Payments,118.92 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200097787,1,202305,Barclaycard - Global Commercial Payments,41.65 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200098249,1,202305,Barclaycard - Global Commercial Payments,121.80 ,15/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200098825,1,202305,Barclaycard - Global Commercial Payments,155.75 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200083589,1,202305,Barclaycard - Global Commercial Payments,23.95 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084173,1,202305,Barclaycard - Global Commercial Payments,259.18 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084395,1,202305,Barclaycard - Global Commercial Payments,334.88 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084477,1,202305,Barclaycard - Global Commercial Payments,96.29 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084610,1,202305,Barclaycard - Global Commercial Payments,82.89 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200085158,1,202305,Barclaycard - Global Commercial Payments,-17.60 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200085364,1,202305,Barclaycard - Global Commercial Payments,99.25 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200085368,1,202305,Barclaycard - Global Commercial Payments,50.24 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200085524,1,202305,Barclaycard - Global Commercial Payments,9.48 ,01/08/2023
