Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104201,"£1,851.78",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104202,"£1,795.92",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104203,£501.66,G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104204,£552.78,G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314761-104207,£636.00,G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,17/09/2024,4314762-MSIF-2425-1,"£12,350.00",GAPPS DAY SERVICES LTD.,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Third Party Payments,410037,Rendered by Other Local Authorities,17/09/2024,4314776-45831,"£27,497.00",HER MAJESTY`S PRISON & PROBATION SERVICE (HMPPS).,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Third Party Payments,410037,Rendered by Other Local Authorities,17/09/2024,4314776-45832,"£1,316.00",HER MAJESTY`S PRISON & PROBATION SERVICE (HMPPS).,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Third Party Payments,410037,Rendered by Other Local Authorities,17/09/2024,4314776-45833,"£3,619.00",HER MAJESTY`S PRISON & PROBATION SERVICE (HMPPS).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314779-10363,£609.00,HILLCREST AUTO ELECTRICS.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314779-10365,£998.58,HILLCREST AUTO ELECTRICS.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314779-10368,£681.10,HILLCREST AUTO ELECTRICS.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314779-10371,£678.00,HILLCREST AUTO ELECTRICS.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,17/09/2024,4314781-25540,"£3,740.00",HODGSONS COACH OPERATORS LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,17/09/2024,4314781-25542,"£4,845.00",HODGSONS COACH OPERATORS LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230003,Contract Hire,17/09/2024,4314781-25543,"£5,780.00",HODGSONS COACH OPERATORS LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,17/09/2024,4314781-25544,"£2,682.60",HODGSONS COACH OPERATORS LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,17/09/2024,4314781-25546,"£3,060.00",HODGSONS COACH OPERATORS LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,17/09/2024,4314781-25547,"£2,975.00",HODGSONS COACH OPERATORS LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,17/09/2024,4314781-25548,"£2,975.00",HODGSONS COACH OPERATORS LTD.,,,,,,
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,17/09/2024,4314786-SI-HK-002873,"£7,200.00",HUMANKIND CHARITY.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314787-1235,"£1,824.00",I & R EXECUTIVE TRAVEL.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Premises,108099,Service Repairs and Maintenance,17/09/2024,4314793-1191,£852.40,JN KEARTON (DRY STONE WALLING).,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338094,Services,17/09/2024,4314800-RES-09-2024-171,£600.00,KIMBLESWORTH & PLAWSWORTH COMMUNITY ASSOCIATION.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,17/09/2024,4314801-A070-JUNE24,"£2,949.18",KINGSWAY CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,17/09/2024,4314808-331193,£867.20,LEXTOX.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09630,"£1,486.00",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09631,"£1,558.70",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09632,"£3,839.80",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09633,"£2,653.20",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09652,"£3,015.00",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09653,"£1,685.40",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09654,"£2,814.00",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09655,"£1,083.60",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09728,"£2,905.08",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09730,"£2,069.90",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09731,"£1,013.60",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09740,"£1,557.40",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09741,"£1,015.40",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09742,"£1,480.00",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09743,£656.00,MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09771,"£1,432.90",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430101,Rendered by Private Contractors,17/09/2024,4314817-HOL09772,"£3,775.50",MCCONECHYS TYRE SERVICE LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,17/09/2024,4314833-AAF22605,"£1,113.00",NCFE.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430119,Rendered by Private Contractors,17/09/2024,4314841-915737779,"£1,899.11",NORTHUMBRIAN WATER LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430119,Rendered by Private Contractors,17/09/2024,4314841-915737787,"£6,623.74",NORTHUMBRIAN WATER LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028822,"£44,691.56",NSL LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028823,"£2,573.87",NSL LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028825,"£80,979.98",NSL LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028826,"£20,140.78",NSL LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028827,"£1,226.72",NSL LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028828,"£3,892.19",NSL LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028830,"£19,360.11",NSL LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028832,"£8,033.59",NSL LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028833,"£25,939.17",NSL LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028834,"£16,567.15",NSL LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314842-00028835,£978.23,NSL LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,17/09/2024,4314845-1247,"£3,336.00",PBS TRAVEL LTD.,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338094,Services,17/09/2024,4314846-RES-09-2024-172,£600.00,PCC OF KIMBLESWORTH.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Construction work A908,908105,Construction work,17/09/2024,4314858-IN19247QTDC,"£26,310.00",Q-FREE (BRISTOL) UK LTD.,,,,,,
Regeneration Economy and Growth,Business Durham,Supplies and Services,340001,Postages E340,17/09/2024,4314859-RES-09-2024-272,"£5,000.00",QUADIENT FINANCE UK LTD FORMERLY NEOPOST LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314862-SI-22278,"£2,085.39",RAPID MINIBUSES.,,,,,,
Regeneration Economy and Growth,Business Durham,Supplies and Services,338099,Services,17/09/2024,4314874-6873,"£2,789.00",SANDERSON WEATHERALL LLP.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314880-2400491,"£73,059.36",SEYMOUR (CIVIL ENGINEERING CONTRACTORS) LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Third Party Payments,410037,Rendered by Other Local Authorities,17/09/2024,4314881-100017,"£3,938.00",SHEENA MILES CARE SERVICES LTD.,,,,,,
Resources BK0010,Digital Services,Supplies and Services,342051,Computers and Communications,17/09/2024,4314884-INV-27857,"£12,000.00",SILKTIDE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314885-21161384,"£1,338.07",SIMON BAILES LTD.,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,352001,Conference Expenses,17/09/2024,4314889-M0144535,"£12,000.00",SOUTH LONDON & MAUDSLEY NHS FOUNDATION TRUST.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,17/09/2024,4314896-10952,"£3,205.76",STANLEY TRAVEL (NORTH EAST) LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314896-11054,£865.12,STANLEY TRAVEL (NORTH EAST) LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314896-11055,£760.27,STANLEY TRAVEL (NORTH EAST) LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314896-11056,"£1,322.53",STANLEY TRAVEL (NORTH EAST) LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314896-11058,£968.00,STANLEY TRAVEL (NORTH EAST) LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,17/09/2024,4314896-65755,"£3,007.98",STANLEY TRAVEL (NORTH EAST) LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314898-51538,"£1,082.52",STONEGRAVE AGGREGATES LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314898-51760,"£1,317.60",STONEGRAVE AGGREGATES LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314900-900281787,"£3,326.92",SWARCO UK & IRELAND LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,17/09/2024,4314901-120488,"£1,398.35",TAYLOR & BRAITHWAITE LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314909-269,"£1,195.44",THE TAXI COMPANY (MURTON) LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314919-264646,"£1,055.05",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314919-264685,"£1,092.97",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314919-265048,£878.41,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314919-265071,"£1,059.27",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,17/09/2024,4314919-265352,"£1,165.98",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,17/09/2024,4314923-2003693,£505.00,USHAW COLLEGE.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,17/09/2024,4314930-1391,"£1,995.00",WAYNE`S TAXIS.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,17/09/2024,4314937-1223147,£592.05,YOUR NRG LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,215005,Running Costs of Vehicles,17/09/2024,4314937-1224642,"£3,201.00",YOUR NRG LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,215005,Running Costs of Vehicles,17/09/2024,4314937-1225101,"£10,576.64",YOUR NRG LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,364501,Grants to Voluntary Organisations,18/09/2024,4315051-030924,"£1,000.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,18/09/2024,4315036-INV25389,"£1,456.50",HORTISYSTEMS UK LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,18/09/2024,4315100-43727,"£4,857.30",OPEN AIR EDUCATION LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,18/09/2024,4315159-1233285,£819.53,UK PLUMBING SUPPLIES LTD T/A CROSSLING.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,18/09/2024,4315159-1244069,£775.88,UK PLUMBING SUPPLIES LTD T/A CROSSLING.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,18/09/2024,4315059-43731,"£1,548.23",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,18/09/2024,4315059-43733,"£1,548.22",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,18/09/2024,4315074-SEAHAMFOODFESTIVAL,£500.00,REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,18/09/2024,4315124-43728,"£1,122.98",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,18/09/2024,4315124-43729,"£1,548.23",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,338099,Services,18/09/2024,4314938-RT643,"£15,400.00",1ST PLANNER LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230007,Contract Hire,18/09/2024,4314939-52450,"£1,600.00",24/7 TAXI SERVICES (PETERLEE) LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230007,Contract Hire,18/09/2024,4314939-62450,£880.00,24/7 TAXI SERVICES (PETERLEE) LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Third Party Payments,440999,Other third party payments E440,18/09/2024,4314954-126648,"£47,280.00",BAYDALE CONTROL SYSTEMS LTD.,,,,,,
