Local authority department which incurred the expenditure,Service Division,Cost Centre,Summary of the Purpose of Expenditure,Expense Type,Expense Code,Detailed Expense Type,Date of Transaction,Transaction Number,Beneficiary,Merchant Category Number,Merchant Category,Gross Amount,VAT,Net Amount
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317792,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317804,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317808,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317816,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,10.00,0.00,10.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317826,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,2.00,0.00,2.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235057,Public Transport,02-Dec-2024,000010309317836,WWW.GONORTHEAST.CO.UK,4111,Staff travelling,20.00,0.00,20.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317846,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317854,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317858,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317866,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317876,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317886,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,5.30,0.00,5.30
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317894,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317902,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317914,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317922,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,078550,Learner Support Funds,Transport,235073,Public Transport,02-Dec-2024,000010309317926,WWW.GONORTHEAST.CO.UK,4111,Travel-clients/students/children,4.00,0.00,4.00
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309317940,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,116.51,0.00,116.51
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309317944,B&M 147 - FERRYHILL,5399,Catering costs - provisions,3.99,0.00,3.99
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309317954,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,-1.00,0.00,-1.00
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309317964,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,-4.80,0.00,-4.80
Children and Young Peoples Services,Childrens Services Operational Support,052932,Childrens Social Care,Supplies and Services,304403,Equipment and Materials,02-Dec-2024,000010309318068,AMZNMktplace 568MW9D85,5999,Other consumables,4.74,0.79,3.95
Regeneration Economy and Growth,Corporate Property and Land,011001,FM-Civic Bldgs-Green Lane Council Offices Spennymoor,Supplies and Services,304403,Equipment and Materials,02-Dec-2024,000010309318188,AMZNMktplace 4S7ZB04V5,5999,Other consumables,279.99,46.67,233.32
Regeneration Economy and Growth,Corporate Property and Land,031994,FM-Civic Bldgs-Corten House,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309318200,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,7.00,0.00,7.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309318460,TRAVELODGE,3615,Conferencesseminars fees etc,105.55,0.00,105.55
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010309318470,Park Head Hotel,7011,Conferencesseminars fees etc,165.00,0.00,165.00
Children and Young Peoples Services,Head of Childrens Social Care,085633,Families First Chester-Le-Street,Supplies and Services,364340,Grants to Voluntary Organisations,02-Dec-2024,000010309318598,WWW.GONORTHEAST.CO.UK,4111,Contact expenses,4.00,0.00,4.00
Children and Young Peoples Services,Head of Childrens Social Care,085633,Families First Chester-Le-Street,Supplies and Services,364340,Grants to Voluntary Organisations,02-Dec-2024,000010309318602,WWW.GONORTHEAST.CO.UK,4111,Contact expenses,4.00,0.00,4.00
Children and Young Peoples Services,Head of Childrens Social Care,085358,Orchard House Sacriston childrens home,Transfer Payments,515140,Social Services Clients,02-Dec-2024,000010309318624,Footasylum Limited,5651,Clothing allowances,125.00,0.00,125.00
Children and Young Peoples Services,Head of Childrens Social Care,085358,Orchard House Sacriston childrens home,Transfer Payments,515140,Social Services Clients,02-Dec-2024,000010309318636,SP DRIPMODAUK,5691,Clothing allowances,154.49,0.00,154.49
Children and Young Peoples Services,Head of Childrens Social Care,085358,Orchard House Sacriston childrens home,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309318642,TESCO STORES 2371,5411,Catering costs - provisions,200.49,0.00,200.49
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,02-Dec-2024,000010309318704,WALKERGATE CAR PAR,7523,Staff travelling,2.00,0.00,2.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,02-Dec-2024,000010309318714,WALKERGATE CAR PAR,7523,Staff travelling,2.00,0.00,2.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030750,Durham Employment & Skills - General,Employees,040149,Recruitment Instruction and Training,02-Dec-2024,000010309318818,WWW.CSCS.UK.COM,8249,Training-all costs,36.00,0.00,36.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030750,Durham Employment & Skills - General,Employees,040149,Recruitment Instruction and Training,02-Dec-2024,000010309318826,WWW.CSCS.UK.COM,8249,Training-all costs,36.00,0.00,36.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085810,CDYJS - Wraparound Team,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309318966,TESCO STORES 2916,5411,Catering costs - provisions,56.73,0.00,56.73
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085810,CDYJS - Wraparound Team,Supplies and Services,304259,Equipment and Materials,02-Dec-2024,000010309318976,DCC Theatres,9399,Equipment-purchase and rental,48.00,0.00,48.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085952,Secure Education,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309319022,TESCO STORES 6329,5411,Catering costs - provisions,261.96,0.00,261.96
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085965,Barnard,Supplies and Services,384871,Miscellaneous Expenses,02-Dec-2024,000010309319034,AMZNBusiness H71CY3XP5,5999,Training-other activities,27.00,4.50,22.50
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309319254,HOME BARGAINS,5399,Catering costs - provisions,59.71,0.00,59.71
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,348037,Subsistence E348,02-Dec-2024,000010309319358,Costa Chester-le-Stre,5812,Subsistence,9.95,0.00,9.95
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,02-Dec-2024,000010309319364,PAYBYPHONE RE DURHAM,7523,Staff travelling,1.40,0.00,1.40
Children and Young Peoples Services,Head of Childrens Social Care,085358,Orchard House Sacriston childrens home,Supplies and Services,308011,Furniture,02-Dec-2024,000010309319400,THE RANGE,5712,Furniture repair and replacement,135.34,0.00,135.34
Children and Young Peoples Services,Head of Childrens Social Care,085358,Orchard House Sacriston childrens home,Supplies and Services,332047,Printing Stationery and Gen Off Exps,02-Dec-2024,000010309319404,ALBANY OFFICE,5021,Stationery,18.00,3.00,15.00
Children and Young Peoples Services,Head of Childrens Social Care,085358,Orchard House Sacriston childrens home,Supplies and Services,332047,Printing Stationery and Gen Off Exps,02-Dec-2024,000010309319414,VIKING,5021,Stationery,-14.99,-2.50,-12.49
Regeneration Economy and Growth,Corporate Property and Land,010525,Catering - Green Lane,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309532948,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,91.66,0.00,91.66
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309532960,FREEMAN CATERING BUTCH,5422,Catering costs - provisions,34.56,0.00,34.56
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309532964,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,30.11,0.00,30.11
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309532966,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,28.41,0.00,28.41
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309532978,FREEMAN CATERING BUTCH,5422,Catering costs - provisions,67.11,0.00,67.11
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309532984,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,9.99,0.00,9.99
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309532988,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,54.06,0.00,54.06
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309532992,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,8.78,0.00,8.78
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309532996,FREEMAN CATERING BUTCH,5422,Catering costs - provisions,22.10,0.00,22.10
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309533000,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,21.69,0.00,21.69
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309533004,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,148.26,0.00,148.26
Regeneration Economy and Growth,Corporate Property and Land,021324,Catering - Meadowfield,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309533012,FREEMAN CATERING BUTCH,5422,Catering costs - provisions,170.38,0.00,170.38
Regeneration Economy and Growth,Corporate Property and Land,021324,Catering - Meadowfield,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010309533018,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,143.99,0.00,143.99
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,348037,Subsistence E348,02-Dec-2024,000010314467144,MCDONALDS1192,5814,Subsistence,16.88,0.00,16.88
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030689,Inward Investment and Aftercare,Supplies and Services,342222,Computers and Communications,02-Dec-2024,000010314467174,FASTHOSTS,4816,Comp hardware purch-network servers,82.79,0.00,82.79
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030689,Inward Investment and Aftercare,Supplies and Services,342222,Computers and Communications,02-Dec-2024,000010314467182,FASTHOSTS,4816,Comp hardware purch-network servers,78.48,0.00,78.48
Regeneration Economy and Growth,Planning & Housing,060472,P&H-Strat & Del-Humanitarian Support programme,Supplies and Services,304221,Equipment and Materials,02-Dec-2024,000010314467390,SCREWFIX DIRECT,5211,Direct materials,4.98,0.83,4.15
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,352001,Conference Expenses,02-Dec-2024,000010314467542,TVLICENSING.CO.UK,7392,Conferencesseminars fees etc,169.50,0.00,169.50
Adult and Health Services,Head of Adults,055302,Durham Pathways,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010314468210,ALDI STORES,5411,Catering costs - provisions,4.30,0.00,4.30
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010314468344,774 026,5411,Catering costs - provisions,39.82,0.00,39.82
Adult and Health Services,Head of Adults,055807,Newton Aycliffe Pathways,Supplies and Services,324117,Provisions E324,02-Dec-2024,000010314468422,ALDI 74 774,5411,Catering costs - provisions,56.11,0.00,56.11
Children and Young Peoples Services,Head of Education and Skills,078567,UK Shared Prosperity - Communicate,Supplies and Services,384302,Miscellaneous Expenses,02-Dec-2024,000010314469202,AMAZON TP6DL9L04,5399,Activity expenses,-24.45,0.00,-24.45
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085810,CDYJS - Wraparound Team,Supplies and Services,348037,Subsistence E348,02-Dec-2024,000010314469782,MCDONALDS,5812,Subsistence,13.08,0.00,13.08
