DIRECTORATE,SECTION,DIVISION,VENDOR_NAME,VENDOR_SITE_ID,PAYMENT_DATE,VOUCHER_NO,AMOUNT,IRRECOVERABLE VATE,PURPOSE_OF_SPEND,PROCUREMENT_CLASSIFICATION
People Services - Adults and Health,Support to Carers,Community Support,REDACTED - PERSONAL DATA,2096468,16/03/2023,4192116,704.72,0.00,N/A,N/A
People Services - Adults and Health,Support to Carers,Community Support,REDACTED - PERSONAL DATA,2096468,16/03/2023,4192183,704.72,0.00,N/A,N/A
People Services - Adults and Health,Social Care Activities,Community Support,REDACTED - PERSONAL DATA,2083472,14/03/2023,4187122,"2,238.00",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,496461,14/03/2023,4187418,"2,444.92",0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,187533,28/03/2023,4212609,519.68,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,192393,28/03/2023,4212496,"8,155.24",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,957495,28/03/2023,4211560,634.60,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,1189475,28/03/2023,4211663,853.44,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,581461,28/03/2023,4212724,"1,065.72",0.00,N/A,N/A
People Services - Adults and Health,Social Care Activities,Community Support,REDACTED - PERSONAL DATA,2115471,23/03/2023,4198248,"1,193.98",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1742517,09/03/2023,4185769,"1,888.00",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1742517,09/03/2023,4185769,"1,770.00",0.00,N/A,N/A
People Services - Children & Young People,Early Help & Children’s Safeguarding,Non-Schools,REDACTED - PERSONAL DATA,1885476,14/03/2023,4190803,520.00,0.00,N/A,N/A
People Services - Adults and Health,Sensory Support,Community Support,REDACTED - PERSONAL DATA,1586480,28/03/2023,4211686,960.00,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,992485,28/03/2023,4211676,"3,799.92",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,653453,28/03/2023,4211419,"1,084.32",0.00,N/A,N/A
People Services - Children & Young People,Integrated Services,Non-Schools,REDACTED - PERSONAL DATA,649454,28/03/2023,4213878,735.00,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,1480505,28/03/2023,4212322,543.88,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Community Support,REDACTED - PERSONAL DATA,1801488,28/03/2023,4212546,"1,152.00",0.00,N/A,N/A
People Services - Adults and Health,Support with Memory and Cognition,Community Support,REDACTED - PERSONAL DATA,579447,28/03/2023,4212645,540.32,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,112150,28/03/2023,4211489,"1,672.72",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,112150,07/03/2023,4184353,"1,672.72",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,112150,07/03/2023,4184361,"1,553.24",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,112150,07/03/2023,4184347,896.10,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,112150,07/03/2023,4184352,"1,672.72",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,385467,28/03/2023,4211487,647.40,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,1824483,28/03/2023,4212434,"1,989.12",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Community Support,REDACTED - PERSONAL DATA,1877475,28/03/2023,4212552,874.24,0.00,N/A,N/A
People Services - Children & Young People,Integrated Services,Non-Schools,REDACTED - PERSONAL DATA,1527482,14/03/2023,4190797,"1,000.00",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,1031478,28/03/2023,4212250,"1,135.56",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,1754478,28/03/2023,4211626,506.68,0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1494479,28/03/2023,4213890,"1,120.00",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1494479,28/03/2023,4213913,"1,120.00",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,REDACTED - PERSONAL DATA,2073471,09/03/2023,4179894,"18,240.00",0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,1225473,28/03/2023,4211997,659.56,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,158337,28/03/2023,4211720,"1,000.00",0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,1041484,28/03/2023,4212593,514.44,0.00,N/A,N/A
People Services - Children & Young People,Integrated Services,Non-Schools,REDACTED - PERSONAL DATA,1471488,14/03/2023,4190827,"1,000.00",0.00,N/A,N/A
People Services - Adults and Health,Sensory Support,Community Support,REDACTED - PERSONAL DATA,170568,28/03/2023,4212029,582.60,0.00,N/A,N/A
