Proclass,Proclass(T),Supplier,Supplier(T) 2,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
320000,Social Community Care Supplies & Services,422116,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126756,202310,07/01/2024,3670.42,
320000,Social Community Care Supplies & Services,422116,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126756,202310,07/01/2024,3670.42,
320000,Social Community Care Supplies & Services,422116,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126756,202310,07/01/2024,3670.42,
320000,Social Community Care Supplies & Services,422116,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126756,202310,07/01/2024,3670.42,
320000,Social Community Care Supplies & Services,412828,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126666,202310,07/01/2024,610.75,
320000,Social Community Care Supplies & Services,412828,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126666,202310,07/01/2024,610.75,
320000,Social Community Care Supplies & Services,412828,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126666,202310,07/01/2024,610.75,
320000,Social Community Care Supplies & Services,412828,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126666,202310,07/01/2024,610.75,
320000,Social Community Care Supplies & Services,422234,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126818,202310,07/01/2024,1267.15,
320000,Social Community Care Supplies & Services,422234,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126818,202310,07/01/2024,1267.15,
320000,Social Community Care Supplies & Services,422234,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126818,202310,07/01/2024,1267.15,
320000,Social Community Care Supplies & Services,422234,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126818,202310,07/01/2024,1267.15,
320000,Social Community Care Supplies & Services,406483,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126770,202310,07/01/2024,2205.28,
320000,Social Community Care Supplies & Services,406483,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126770,202310,07/01/2024,2205.28,
320000,Social Community Care Supplies & Services,406483,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126770,202310,07/01/2024,2205.28,
