,Payments for Publishing for Invoices paid between 01-AUG-2023 and 31-AUG-2023,,,,,,
BELOVED HOMECARE LIMITED,134749,18-AUG-2023,928.53,Adults Care and Health and Strategic Commissioning,S6162,Physical Support - Older People (65+),
BELOVED HOMECARE LIMITED,135499,24-AUG-2023,456.12,Adults Care and Health and Strategic Commissioning,S6999,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,637.00,Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"1,702.43",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"1,802.57",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Adults (18-64),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"1,101.57",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,546.00,Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"1,101.57",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,130662,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELVIDERE NURSING HOME,136988,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BEST START DAYCARE LIMITED,136728,29-AUG-2023,"3,205.14","Children, Families & Education",E1170,Services,
BEST START DAYCARE LIMITED,136728,29-AUG-2023,"2,501.10","Children, Families & Education",E1170,Services,
BESTCO LIMITED,131338,03-AUG-2023,509.84,Neighbourhood Services,T4020,"Equipment, Furniture & Materials",
BESTCO LIMITED,130597,02-AUG-2023,"5,034.20",Neighbourhood Services,V1920,"Equipment, Furniture & Materials",
BEVAN BRITTAN LLP,135579,24-AUG-2023,"20,193.60",Law & Governance (Monitoring Officer),A1313,Legal Service Provider,
BEVAN BRITTAN LLP,135579,24-AUG-2023,501.20,Law & Governance (Monitoring Officer),A1313,Legal Service Provider,
BEVAN BRITTAN LLP,135579,24-AUG-2023,"1,000.00",Law & Governance (Monitoring Officer),A1313,Legal Service Provider,
BEVAN BRITTAN LLP,135579,24-AUG-2023,"1,425.60",Law & Governance (Monitoring Officer),A1313,Legal Service Provider,
BEVAN BRITTAN LLP,135469,23-AUG-2023,"1,550.00",Capital,C2935,Miscellaneous,
BFS GROUP LIMITED T/A BIDFOOD,131815,03-AUG-2023,659.09,Neighbourhood Services,L3951,Catering,
BFS GROUP LIMITED T/A BIDFOOD,135576,24-AUG-2023,688.83,Neighbourhood Services,L3951,Catering,
BIFFA WASTE SERVICES,133293,14-AUG-2023,"9,534.96",Neighbourhood Services,H2930,Waste Service Provider,
BIFFA WASTE SERVICES,133293,14-AUG-2023,"10,048.88",Neighbourhood Services,H2930,Waste Service Provider,
BIFFA WASTE SERVICES,133293,14-AUG-2023,"349,591.01",Neighbourhood Services,H2930,Waste Service Provider,
BIFFA WASTE SERVICES,133293,14-AUG-2023,"715,562.37",Neighbourhood Services,H2940,Waste Service Provider,
BIFFA WASTE SERVICES,133293,14-AUG-2023,"1,600.40",Neighbourhood Services,H2940,Waste Service Provider,
BIFFA WASTE SERVICES,133293,14-AUG-2023,"20,467.98",Neighbourhood Services,H2940,Waste Service Provider,
BIFFA WASTE SERVICES,133293,14-AUG-2023,"6,881.45",Neighbourhood Services,H2940,Waste Service Provider,
BIFFA WASTE SERVICES,132141,07-AUG-2023,"2,849.04",Neighbourhood Services,L4950,Waste Service Provider,
BIFFA WASTE SERVICES,132141,07-AUG-2023,422.08,Neighbourhood Services,L4955,Waste Service Provider,
BIFFA WASTE SERVICES,132141,07-AUG-2023,633.12,Neighbourhood Services,L4978,Waste Service Provider,
BIRKENHEAD PREPARATORY SCHOOL,136731,29-AUG-2023,"12,589.33","Children, Families & Education",E1170,Services,
BIRKENHEAD YMCA,135470,23-AUG-2023,"12,238.68",Regeneration & Place,H6085,General Supplies and Services,
BIRKENHEAD YMCA,135470,23-AUG-2023,"4,750.95",Regeneration & Place,H6085,General Supplies and Services,
BIRKENHEAD YMCA,135470,23-AUG-2023,"6,721.23",Regeneration & Place,H6085,General Supplies and Services,
BIRKENHEAD YMCA,135470,23-AUG-2023,"35,780.70",Regeneration & Place,H7180,Grants Paid,
BIRTENSHAW,132937,11-AUG-2023,"1,178.60",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
BIRTENSHAW,132937,11-AUG-2023,"17,664.42",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
BIRTENSHAW,132937,11-AUG-2023,"10,502.13",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
BIRTENSHAW,135204,22-AUG-2023,"6,167.69","Children, Families & Education",E5870,Specialist Contracts & Fees,
BIRTENSHAW,135204,22-AUG-2023,"6,964.10","Children, Families & Education",E5870,Specialist Contracts & Fees,
BIRTENSHAW,135204,22-AUG-2023,"15,509.30","Children, Families & Education",E7080,Care Provision,
BIRTENSHAW,135204,22-AUG-2023,"15,248.56","Children, Families & Education",E7080,Care Provision,
BLOOM PROCUREMENT SERVICES LIMITED,132664,09-AUG-2023,"8,567.36",Regeneration & Place,V1702,Services,
BLUE RIBBON HEALTHCARE LIMITED,130599,02-AUG-2023,"28,424.60",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
BLUE RIBBON HEALTHCARE LIMITED,136931,30-AUG-2023,"28,424.60",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
BLUEBELLS DAY NURSERY,136732,29-AUG-2023,"6,463.80","Children, Families & Education",E1170,Services,
BLUEBELLS DAY NURSERY,132368,08-AUG-2023,"2,158.00","Children, Families & Education",E6020,Hired or Contracted services,
BNR AGENCY LIMITED,132566,09-AUG-2023,"105,427.04",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
BNR AGENCY LIMITED,132566,09-AUG-2023,"4,586.40",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Adults (18-64),
BNR AGENCY LIMITED,132566,09-AUG-2023,"1,646.40",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Adults (18-64),
BNR AGENCY LIMITED,132566,09-AUG-2023,470.40,Adults Care and Health and Strategic Commissioning,S6142,Social Care Activities,
BOLINDA UK LIMITED,130600,02-AUG-2023,"4,000.00",Neighbourhood Services,L2300,"Printing, Stationery & General Office Expenses",
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6121,Physical Support - Adults (18-64),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6121,Physical Support - Adults (18-64),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6121,Physical Support - Adults (18-64),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6121,Physical Support - Adults (18-64),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,434.29",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Mental Health Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Mental Health Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"5,439.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,636.86,Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"5,180.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"5,180.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,130663,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BONDCARE WILLINGTON LIMITED,136989,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
