Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category,Invoice Value  £
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BARNES COURT,7003706287,24.07.2023,REVENUE,"48,883.53"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,FALSTONE MANOR CARE HOME,7003706276,24.07.2023,REVENUE,"27,867.36"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HC-ONE BEAMISH LTD,7003706191,24.07.2023,REVENUE,765.00
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HERRINGTON GRANGE LTD,7003706273,24.07.2023,REVENUE,"15,277.57"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HILL CARE SERVICES LIMITED,7003706282,24.07.2023,REVENUE,758.70
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MARQUIS COURT,7003706278,24.07.2023,REVENUE,"27,773.92"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PADDOCK STILE MANOR,7003706231,24.07.2023,REVENUE,"26,464.96"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,SLW LIMITED - SYCAMORE LODGE,7003706218,24.07.2023,REVENUE,"66,233.83"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,SPRINGFIELD LODGE NURSING HOME,7003706209,24.07.2023,REVENUE,"3,141.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THE CROFT CARE HOME,7003706230,24.07.2023,REVENUE,"18,003.91"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNCLIFFE HOUSE,7003706184,24.07.2023,REVENUE,"12,323.70"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,YOHDEN CARE COMPLEX,7003706179,24.07.2023,REVENUE,761.58
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,VILLAGE CARE HOME LTD,7003706175,24.07.2023,REVENUE,"29,717.61"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21 BECKWITH MEWS,5122751586,25.07.2023,REVENUE,"3,118.08"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- DOVECOTE MEADOWS,5122751604,25.07.2023,REVENUE,"2,601.60"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21 BECKWITH MEWS,5122751584,25.07.2023,REVENUE,"7,795.20"
